,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
90,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,https://github.com/pawamoy/mkdocs-spellcheck,https://github.com/pawamoy/mkdocs-spellcheck,ISC,2022-01-23 13:03:19,2024-12-03 19:29:52,2024-12-03 19:29:26,62.0,2.0,4.0,3.0,5.0,8.0,13.0,19.0,2024-05-06 13:17:44,1.1.0,4.0,A spell checker plugin for MkDocs.,63.0,63.0,4.0,https://pypi.org/project/mkdocs-spellcheck,15321.0,15321.0,16,True,2.0,,,,,,,,,,,,
91,codeinclude,,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,https://github.com/rnorth/mkdocs-codeinclude-plugin,https://github.com/rnorth/mkdocs-codeinclude-plugin,MIT,2018-10-15 18:54:45,2023-06-15 11:19:00,2023-03-01 19:54:31,50.0,,7.0,3.0,22.0,5.0,7.0,14.0,2023-03-01 19:56:43,0.2.1,5.0,A plugin to include code snippets into mkdocs pages.,140.0,140.0,3.0,https://pypi.org/project/mkdocs-codeinclude-plugin,22598.0,22598.0,16,True,2.0,,,,,,,,,,,,
92,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,https://github.com/mitya57/python-markdown-math,https://github.com/mitya57/python-markdown-math,BSD-3-Clause,2015-01-12 13:25:03,2022-08-12 10:58:05,2022-08-12 10:57:34,67.0,,25.0,6.0,8.0,2.0,22.0,122.0,,,,Math extension for Python-Markdown.,,,8.0,https://pypi.org/project/python-markdown-math,107323.0,107323.0,15,True,2.0,,mdx_math,,,,,,,,,,
93,Mdx Truly Sane Lists,,,,radude/mdx_truly_sane_lists,mdx-truly-sane-lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2023-08-08 12:02:52,2022-07-19 13:42:01,54.0,,10.0,4.0,6.0,7.0,8.0,90.0,2022-08-01 19:58:13,1.3,4.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,4.0,https://pypi.org/project/mdx-truly-sane-lists,627640.0,627640.0,15,True,2.0,,mdx_truly_sane_lists,,,,,,,,,,
94,mkdocs-render-swagger-plugin,,render_swagger,,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,https://github.com/bharel/mkdocs-render-swagger-plugin,https://github.com/bharel/mkdocs-render-swagger-plugin,MIT,2020-12-15 12:41:17,2024-09-23 02:39:43,2024-09-23 02:39:43,89.0,,12.0,3.0,15.0,3.0,12.0,75.0,2024-05-26 19:20:40,0.1.2,6.0,A plugin for MKDocs for rendering swagger & openapi schemas using SwaggerUI.,,,8.0,https://pypi.org/project/mkdocs-render-swagger-plugin,73405.0,73405.0,15,True,2.0,,,6.0,,,,,,,,,
95,git-committers,,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,https://github.com/byrnereese/mkdocs-git-committers-plugin,https://github.com/byrnereese/mkdocs-git-committers-plugin,MIT,2018-12-15 00:21:27,2024-12-12 18:10:15,2024-12-12 18:10:08,44.0,1.0,6.0,5.0,10.0,7.0,1.0,42.0,,,,A mkdocs plugin for displaying the last commit and a list of a files contributors.,269.0,269.0,7.0,https://pypi.org/project/mkdocs-git-committers-plugin,26977.0,26977.0,15,True,3.0,,,,,,,,['mkdocs_plugin'],,,,
96,mkdocs-live-edit-plugin,,live-edit,,eddyluten/mkdocs-live-edit-plugin,mkdocs-live-edit-plugin,['plugin'],nav-pages,https://github.com/EddyLuten/mkdocs-live-edit-plugin,https://github.com/EddyLuten/mkdocs-live-edit-plugin,MIT,2023-06-22 07:14:15,2024-12-15 20:44:42,2024-12-15 20:43:50,23.0,4.0,3.0,2.0,3.0,2.0,4.0,21.0,2024-12-15 20:44:42,0.2.1,8.0,An MkDocs plugin that allows editing pages directly from the browser.,10.0,10.0,3.0,https://pypi.org/project/mkdocs-live-edit-plugin,759.0,759.0,15,True,2.0,,,,,,,,,,,,
97,Lantana,lantana,,,WSOFT-Project/lantana,lantana,['theme'],theming,https://github.com/WSOFT-Project/lantana,https://github.com/WSOFT-Project/lantana,MIT,2022-10-27 17:47:25,2024-12-16 11:04:04,2024-12-16 11:02:19,175.0,35.0,,1.0,49.0,2.0,19.0,15.0,2024-12-16 11:04:04,2.13.0,36.0,Lantana MKDocsHTML.,6.0,6.0,5.0,https://pypi.org/project/lantana,2220.0,2235.0,15,True,2.0,,,426.0,,,,,,,,,
98,mkdocs-embed-external-markdown,,external-markdown,,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,https://github.com/fire1ce/mkdocs-embed-external-markdown,https://github.com/fire1ce/mkdocs-embed-external-markdown,MIT,2022-02-24 10:21:12,2024-08-22 06:52:48,2024-08-22 06:52:48,102.0,,8.0,2.0,7.0,1.0,11.0,10.0,2024-02-26 12:17:17,3.0.2,4.0,MkDocs Embed External Markdown plugin that allow to inject section or all full markdown content from a given url. The..,133.0,133.0,7.0,https://pypi.org/project/mkdocs-embed-external-markdown,11028.0,11028.0,15,True,3.0,,,,,,,,,,,,
99,MkDocs asciinema-player,,asciinema-player,,pa-decarvalho/mkdocs-asciinema-player,mkdocs-asciinema-player,['plugin'],integrations,https://github.com/pa-decarvalho/mkdocs-asciinema-player,https://github.com/pa-decarvalho/mkdocs-asciinema-player,MIT,2023-10-29 12:48:03,2025-02-12 10:32:56,2025-02-12 10:32:27,162.0,5.0,1.0,1.0,25.0,3.0,24.0,8.0,2025-02-12 10:32:29,0.16.0,24.0,Mkdocs Plugin to include asciinema player in your documentation.,8.0,8.0,3.0,https://pypi.org/project/mkdocs-asciinema-player,1342.0,1342.0,15,True,2.0,,,,,,,,,,,,
100,oEmbedPy,,oembedpy,,attakei/oEmbedPy,oEmbedPy,['plugin'],charts,https://github.com/attakei/oEmbedPy,https://oembedpy.readthedocs.io/en/stable/integrations/mkdocs/,Apache-2.0,2023-03-20 14:26:58,2025-02-01 05:37:09,2025-02-01 05:36:43,152.0,37.0,1.0,,2.0,3.0,2.0,5.0,2025-01-29 16:45:30,0.8.0,9.0,MkDocs plugin to render rich contents from URL by oEmbed API.,15.0,15.0,2.0,https://pypi.org/project/oEmbedPy,3637.0,3638.0,15,True,2.0,,,28.0,,,,,,,,,
101,mkdocs-pagetree-plugin,,pagetree,,tombreit/mkdocs-pagetree-plugin,mkdocs-pagetree-plugin,['plugin'],nav-pages,https://github.com/tombreit/mkdocs-pagetree-plugin,https://github.com/tombreit/mkdocs-pagetree-plugin,MIT,2023-11-26 08:35:39,2025-02-04 15:17:14,2025-02-04 15:06:03,86.0,29.0,1.0,1.0,2.0,1.0,9.0,4.0,2025-02-04 15:12:47,0.0.15,10.0,"MkDocs plugin that allows you to display the page tree. Like `sitemap.xml`, but for humans.",11.0,11.0,2.0,https://pypi.org/project/mkdocs-pagetree-plugin,19437.0,19437.0,15,True,2.0,,,,,,,,,,,,
102,mkdocs-pandoc,,,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,https://github.com/jgrassler/mkdocs-pandoc,https://github.com/jgrassler/mkdocs-pandoc,Apache-2.0,2015-12-01 13:55:25,2018-11-08 16:57:49,2016-03-14 20:16:57,25.0,,22.0,9.0,8.0,13.0,10.0,108.0,,,,[unmaintained] mkdocs - pandoc converter: use this fork https://github.com/twardoch/mkdocs-combine.,76.0,76.0,4.0,https://pypi.org/project/mkdocs-pandoc,431.0,431.0,14,True,3.0,,,,,,,,,,,,
103,same-dir,,same-dir,,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],site-management,https://github.com/oprypin/mkdocs-same-dir,https://github.com/oprypin/mkdocs-same-dir,MIT,2020-04-26 17:38:21,2024-12-07 18:22:09,2024-12-07 11:38:57,48.0,1.0,2.0,3.0,2.0,1.0,7.0,43.0,,,,MkDocs plugin to allow placing mkdocs.yml in the same directory as documentation.,413.0,413.0,2.0,https://pypi.org/project/mkdocs-same-dir,35637.0,35637.0,14,True,2.0,,,,,,,,,,,,
104,ezlinks,,ezlinks,,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,https://github.com/orbikm/mkdocs-ezlinks-plugin,https://github.com/orbikm/mkdocs-ezlinks-plugin,MIT,2021-02-10 23:10:38,2024-07-25 22:16:38,2022-01-24 19:59:04,40.0,,13.0,2.0,25.0,12.0,15.0,35.0,2022-01-24 20:08:01,_0.1.14,14.0,Plugin for mkdocs which enables easier linking between pages.,128.0,128.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,3549.0,3553.0,14,True,2.0,,,209.0,,,,,,,,,
105,mkdocs-diagrams,,diagrams,,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,https://github.com/zoni/mkdocs-diagrams,https://github.com/zoni/mkdocs-diagrams,MIT,2020-05-16 10:44:25,2020-09-04 08:33:06,2020-09-04 08:27:56,12.0,,3.0,3.0,1.0,1.0,2.0,29.0,,,,MkDocs plugin to render Diagrams files.,68.0,68.0,,https://pypi.org/project/mkdocs-diagrams,124408.0,124408.0,14,True,2.0,,,,,,,,,,,,
106,Lightgallery,,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,https://github.com/g-provost/lightgallery-markdown,https://github.com/g-provost/lightgallery-markdown,MIT,2017-12-19 10:35:49,2023-10-07 06:38:59,2023-10-07 06:38:59,23.0,,5.0,3.0,5.0,6.0,5.0,26.0,2021-02-15 09:47:09,0.5,1.0,Markdown extension to wrap images in a lightbox.,98.0,98.0,6.0,https://pypi.org/project/lightgallery,4079.0,4079.0,14,True,2.0,,lightgallery,,,,,,,,,,
107,pheasant,,pheasant,,daizutabi/pheasant,pheasant,['plugin'],code-exec-templating,https://github.com/daizutabi/pheasant,https://github.com/daizutabi/pheasant,MIT,2017-12-25 12:14:27,2024-09-27 09:02:19,2024-09-27 09:00:27,842.0,,9.0,3.0,4.0,,11.0,16.0,,,,Documentation tool for Markdown conversion by Jupyter client.,54.0,54.0,4.0,https://pypi.org/project/pheasant,2433.0,2433.0,14,True,3.0,,,,,,,,,,,,
108,file-filter,,file-filter,,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,MIT,2023-02-01 20:21:43,2024-10-16 15:57:50,2024-07-19 16:56:47,94.0,,4.0,3.0,244.0,5.0,8.0,10.0,2024-01-12 04:10:34,0.2.0,10.0,"A MkDocs plugin that lets you exclude/include docs files using globs, regexes, gitignore-style file and..",16.0,16.0,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,2874.0,2878.0,14,True,2.0,,,99.0,,,,,,,,,
109,mkdocs-autoapi,,mkdocs-autoapi,,jcayers20/mkdocs-autoapi,mkdocs-autoapi,['plugin'],api-docs,https://github.com/jcayers20/mkdocs-autoapi,https://github.com/jcayers20/mkdocs-autoapi,MIT,2024-04-24 18:08:03,2025-02-05 14:28:35,2025-02-05 14:09:19,137.0,4.0,,1.0,33.0,7.0,27.0,3.0,2025-02-05 14:28:36,0.4.0,7.0,MkDocs plugin providing automatic API reference generation.,5.0,5.0,,https://pypi.org/project/mkdocs-autoapi,1519.0,1520.0,14,True,2.0,,,8.0,,,,,,,,,
110,meta-manager,,meta-manager,,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,https://github.com/timmeinerzhagen/mkdocs-meta-manager,https://github.com/timmeinerzhagen/mkdocs-meta-manager,MIT,2022-12-11 16:38:21,2025-01-20 21:57:36,2025-01-20 21:56:55,19.0,3.0,1.0,1.0,13.0,1.0,3.0,3.0,2025-01-20 21:57:36,1.1.0,8.0,MkDocs plugin for managing meta tags across folders and files.,11.0,11.0,3.0,https://pypi.org/project/mkdocs-meta-manager,8797.0,8797.0,14,True,3.0,,,,,,,,,,,,
111,MkDocs Merge,,,,ovasquez/mkdocs-merge,mkdocs-merge,[],site-management,https://github.com/ovasquez/mkdocs-merge,https://github.com/ovasquez/mkdocs-merge,MIT,2017-06-06 21:33:22,2024-07-31 05:18:22,2024-07-31 05:16:50,29.0,,6.0,1.0,11.0,5.0,4.0,24.0,2024-07-31 05:18:22,0.9.0,7.0,Merge the source of multiple MkDocs sites into a single one.,6.0,6.0,3.0,https://pypi.org/project/mkdocs-merge,1874.0,1874.0,13,True,3.0,,,,,,,,,,,,
112,Interactive Graph,,obsidian-interactive-graph,,daxcore/mkdocs-obsidian-interactive-graph-plugin,mkdocs-obsidian-interactive-graph-plugin,['plugin'],charts,https://github.com/daxcore/mkdocs-obsidian-interactive-graph-plugin,https://github.com/daxcore/mkdocs-obsidian-interactive-graph-plugin,MIT,2024-03-15 17:00:19,2024-12-14 16:30:54,2024-12-14 16:29:52,38.0,6.0,2.0,1.0,1.0,,3.0,22.0,2024-12-14 16:27:16,0.3.0,4.0,"interactive graph for Material for MkDocs like Obsidian, refer demo:.",39.0,39.0,2.0,https://pypi.org/project/mkdocs-obsidian-interactive-graph-plugin,966.0,966.0,13,True,3.0,,,,,,,,,,,,
113,add-number,,add-number,,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,https://github.com/ignorantshr/mkdocs-add-number-plugin,https://github.com/ignorantshr/mkdocs-add-number-plugin,MIT,2019-05-25 03:48:30,2020-06-17 07:23:03,2020-06-11 09:35:38,31.0,,4.0,2.0,5.0,3.0,9.0,17.0,,,,MkDocs plugin to automatically number the headings (h1-h6) in each markdown page and the nav.,48.0,48.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,12170.0,12170.0,13,True,2.0,,,,,,,,,,,,
114,mkdocs-alias-plugin,,alias,,eddyluten/mkdocs-alias-plugin,mkdocs-alias-plugin,['plugin'],links-refs,https://github.com/EddyLuten/mkdocs-alias-plugin,https://github.com/EddyLuten/mkdocs-alias-plugin,MIT,2022-02-13 01:23:30,2024-04-22 03:39:27,2024-04-22 03:39:25,34.0,,3.0,2.0,4.0,3.0,8.0,15.0,2024-04-08 14:48:04,0.8.1,11.0,An MkDocs plugin allowing links to your pages using a custom alias.,30.0,30.0,3.0,https://pypi.org/project/mkdocs-alias-plugin,2493.0,2493.0,13,True,2.0,,,,,,,,,,,,
115,mktheapidocs,,mktheapidocs,,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-06-10 14:37:18,2022-06-10 14:36:01,91.0,,3.0,2.0,64.0,10.0,6.0,13.0,2022-06-10 14:33:49,0.3.0,2.0,Numpydocs - mkdocs friendly markdown.,43.0,43.0,6.0,https://pypi.org/project/mktheapidocs,781.0,781.0,13,True,3.0,,,,,,,,,,,,
116,mkdocs-nav-weight,,mkdocs-nav-weight,,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,https://github.com/shu307/mkdocs-nav-weight,https://github.com/shu307/mkdocs-nav-weight,MIT,2022-08-28 04:55:37,2024-10-26 09:42:17,2024-10-26 09:42:09,31.0,,2.0,2.0,2.0,,1.0,11.0,2023-11-17 05:32:31,0.2.0,8.0,"A simple mkdocs plugin, enables to organize Navigation in a more markdownic way.",93.0,93.0,3.0,https://pypi.org/project/mkdocs-nav-weight,21573.0,21573.0,13,True,3.0,,,,,,,,,,,,
117,pdf-with-js,,pdf-with-js,,smaxtec/mkdocs-pdf-with-js-plugin,mkdocs-pdf-with-js-plugin,['plugin'],site-conversion,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,MIT,2020-06-04 09:48:18,2021-07-23 08:52:22,2021-07-23 08:52:22,13.0,,3.0,5.0,3.0,1.0,,8.0,2021-07-16 06:35:39,0.1.3,3.0,A MkDocs plugin that exports your documentation as PDF with rendered JavaScript content.,13.0,13.0,4.0,https://pypi.org/project/mkdocs-pdf-with-js-plugin,1595.0,1595.0,13,True,3.0,,,,,,,,,,,,
118,Markdown Inline Graphviz,,,,cesaremorel/markdown-inline-graphviz,markdown-inline-graphviz-extension,['markdown'],markdown,https://github.com/cesaremorel/markdown-inline-graphviz,https://github.com/cesaremorel/markdown-inline-graphviz,MIT,2019-06-05 21:10:15,2024-01-16 17:52:15,2024-01-16 17:52:15,39.0,,10.0,2.0,7.0,1.0,7.0,5.0,2024-01-16 17:52:46,1.1.3,3.0,Render inline graphs with Markdown and Graphviz.,,,9.0,https://pypi.org/project/markdown-inline-graphviz-extension,192440.0,192440.0,13,True,2.0,,markdown_inline_graphviz,,,,,,,,,,
119,mkdocstrings-vba,,,,mkdocstrings/vba,mkdocstrings-vba,,api-docs,https://github.com/mkdocstrings/vba,https://github.com/mkdocstrings/vba,ISC,2022-02-10 10:57:57,2025-01-24 12:27:58,2024-10-01 11:12:13,68.0,,1.0,3.0,14.0,2.0,7.0,3.0,2024-10-01 11:12:39,0.0.10,8.0,VBA handler for mkdocstrings.,3.0,3.0,3.0,https://pypi.org/project/mkdocstrings-vba,275.0,275.0,13,True,3.0,,,,,,,,,,,,
120,mkdocs-extra-sass-plugin,,extra-sass,,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,https://github.com/orzih/mkdocs-extra-sass-plugin,https://github.com/orzih/mkdocs-extra-sass-plugin,MIT,2021-01-30 04:11:09,2023-04-21 20:51:40,2021-02-13 10:11:46,2.0,,4.0,,3.0,4.0,,3.0,2021-01-30 04:25:34,0.1.0,1.0,Adds stylesheets to your mkdocs site from Sass/SCSS.,59.0,59.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,29986.0,29986.0,13,True,2.0,,,,,,,,,,,,
121,Torillic,torillic,,,TEParsons/torillic,mkdocs-torillic,['theme'],theming,https://github.com/TEParsons/torillic,https://github.com/TEParsons/torillic,CC0-1.0,2020-12-12 15:08:51,2024-09-05 20:28:45,2024-09-05 20:28:42,146.0,,90.0,3.0,2.0,1.0,10.0,107.0,2024-04-01 13:27:25,2.2.0,7.0,A D&D inspired theme for styling TTRPG notes and resources.,,,4.0,https://pypi.org/project/mkdocs-torillic,750.0,920.0,12,True,2.0,,,7679.0,,,,,,,,,
122,roamlinks,,roamlinks,,Jackiexiao/mkdocs-roamlinks-plugin,mkdocs-roamlinks-plugin,['plugin'],links-refs,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,MIT,2020-09-05 02:15:33,2023-06-08 06:20:32,2023-06-08 06:20:31,33.0,,15.0,4.0,11.0,,,52.0,,,,An MkDocs plugin that automagically generates relative links between markdown pages.,,,9.0,https://pypi.org/project/mkdocs-roamlinks-plugin,13582.0,13582.0,12,True,2.0,,,,,,,,,,,,
123,newsletter,,mkdocs-newsletter,,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],blogging,https://github.com/lyz-code/mkdocs-newsletter,https://github.com/lyz-code/mkdocs-newsletter,GPL-3.0,2021-02-10 16:13:44,2024-05-27 12:10:11,2024-05-27 12:09:03,299.0,,2.0,4.0,101.0,3.0,7.0,31.0,,,,Automatically create newsletters from the changes in a mkdocs repository.,49.0,49.0,3.0,https://pypi.org/project/mkdocs-newsletter,968.0,968.0,12,True,3.0,,,,,,,,,,,,
124,mkdocs-typer,,,,bruce-szalwinski/mkdocs-typer,mkdocs-typer,['markdown'],api-docs,https://github.com/bruce-szalwinski/mkdocs-typer,https://github.com/bruce-szalwinski/mkdocs-typer,Apache-2.0,2021-01-25 17:46:54,2023-06-21 16:32:56,2023-06-21 16:32:25,22.0,,2.0,2.0,13.0,4.0,3.0,28.0,2023-06-21 16:32:56,0.0.3,3.0,An MkDocs extension to generate documentation for Typer command line applications.,,,,https://pypi.org/project/mkdocs-typer,14860.0,14860.0,12,True,3.0,,mkdocs-typer,,,,,,,,,,
125,markdownmermaid,,markdownmermaid,,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,https://github.com/pugong/mkdocs-mermaid-plugin,https://github.com/pugong/mkdocs-mermaid-plugin,MIT,2018-11-28 13:09:20,2020-03-06 16:12:45,2019-05-26 05:43:37,9.0,,16.0,3.0,6.0,2.0,4.0,26.0,,,,A MkDocs plugin that support mermaid graph in markdown file.,98.0,98.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,6517.0,6517.0,12,True,3.0,,,,,,,,,,,,
126,Autolink References,,autolink_references,,theskumar/autolink-references-mkdocs-plugin,autolink-references-mkdocs-plugin,['plugin'],links-refs,https://github.com/theskumar/autolink-references-mkdocs-plugin,https://github.com/theskumar/autolink-references-mkdocs-plugin,MIT,2020-10-15 05:47:46,2024-08-13 12:52:42,2023-12-28 18:41:22,14.0,,6.0,4.0,11.0,1.0,3.0,18.0,2023-12-28 18:21:54,0.2.2,1.0,mkdocs plugin to provides GitHub like autolink references in Mkdocs.,10.0,10.0,3.0,https://pypi.org/project/autolink-references-mkdocs-plugin,6288.0,6288.0,12,True,2.0,,,,,,,,,,,,
127,Blogs for MkDocs,,blog,,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],blogging,https://github.com/fmaida/mkdocs-blog-plugin,https://github.com/fmaida/mkdocs-blog-plugin,MIT,2020-01-19 13:38:21,2020-04-13 08:11:37,2020-04-13 08:11:31,21.0,,4.0,4.0,,1.0,1.0,17.0,,,,This plugin for MkDocs allows to keeps a really simple blog section inside your documentation site.,132.0,132.0,,https://pypi.org/project/mkdocs-blog-plugin,2163.0,2163.0,12,True,3.0,,,,,,,,['mkdocs_plugin'],,,,
128,Zettelkasten,zettelkasten-solarized-light,['zettelkasten'],,buvis/mkdocs-zettelkasten,mkdocs-zettelkasten,['theme'],theming,https://github.com/buvis/mkdocs-zettelkasten,https://github.com/buvis/mkdocs-zettelkasten,MIT,2021-11-24 19:48:08,2024-12-26 17:58:27,2024-12-26 17:58:09,58.0,4.0,3.0,1.0,16.0,8.0,3.0,16.0,2022-11-25 12:19:12,0.1.8,3.0,This is a Zettelkasten theme and plugin for MkDocs. It renders the MkDocs pages as cards (zettels).,6.0,6.0,3.0,https://pypi.org/project/mkdocs-zettelkasten,399.0,399.0,12,True,2.0,,,30.0,,,,,,,,,
129,unused-files,,unused_files,,wilhelmer/mkdocs-unused-files,mkdocs-unused-files,['plugin'],links-refs,https://github.com/wilhelmer/mkdocs-unused-files,https://github.com/wilhelmer/mkdocs-unused-files,MIT,2022-12-14 20:47:40,2023-07-17 15:18:12,2023-07-17 15:12:19,27.0,,4.0,1.0,3.0,2.0,8.0,11.0,2023-07-17 15:18:12,0.2.0,9.0,An MkDocs plugin to find unused (orphaned) files in your project.,25.0,25.0,2.0,https://pypi.org/project/mkdocs-unused-files,3177.0,3177.0,12,True,2.0,,,,,,,,,,,,
130,SWAN,swan,,,swan-cern/mkdocs-swan,mkdocs-swan,['theme'],theming,https://github.com/swan-cern/mkdocs-swan,https://github.com/swan-cern/mkdocs-swan,AGPL-3.0,2020-06-06 18:14:12,2024-01-23 09:36:43,2024-01-23 09:36:42,22.0,,3.0,3.0,4.0,,,7.0,2024-01-23 09:37:16,0.4.0,8.0,SWAN MkDocs theme.,10.0,10.0,4.0,https://pypi.org/project/mkdocs-swan,357.0,357.0,12,True,2.0,,,,,,,,,,,,
131,markdown-version-annotations,,,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],snippets-include,https://github.com/glennmatthews/markdown-version-annotations,https://github.com/glennmatthews/markdown-version-annotations,MIT,2022-09-14 15:06:14,2024-05-06 16:44:29,2024-05-06 16:43:16,8.0,,,3.0,,,2.0,6.0,2024-05-06 16:44:29,1.0.1,2.0,MkDocs plugin to add custom admonitions for documenting version differences.,45.0,45.0,,https://pypi.org/project/markdown-version-annotations,5578.0,5578.0,12,True,3.0,,markdown_version_annotations,26.0,,,,,,,,,
132,toc-sidebar,,toc-sidebar,,zachhannum/mkdocs-toc-sidebar-plugin,mkdocs-toc-sidebar-plugin,['plugin'],nav-pages,https://github.com/zachhannum/mkdocs-toc-sidebar-plugin,https://github.com/zachhannum/mkdocs-toc-sidebar-plugin,MIT,2020-01-11 06:11:10,2021-05-30 09:12:08,2020-01-11 13:04:15,9.0,,3.0,3.0,3.0,3.0,,5.0,2020-01-11 07:19:38,_010,1.0,An MkDocs plugin that allows users to add additional content to the ToC sidebar using the Material theme.,42.0,42.0,2.0,https://pypi.org/project/mkdocs-toc-sidebar-plugin,116531.0,116531.0,12,True,3.0,,,,,,,,,,,,
133,user-defined-values,,user-defined-values,,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,https://github.com/rahult/mkdocs-user-defined-values,https://github.com/rahult/mkdocs-user-defined-values,MIT,2020-01-05 09:26:06,2022-12-26 21:35:05,2022-07-10 05:32:27,36.0,,3.0,3.0,13.0,1.0,1.0,4.0,2020-04-21 10:59:01,0.0.5,4.0,MkDocs User Defined Values.,15.0,15.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,877.0,877.0,12,True,3.0,,,16.0,,,,,,,,,
134,MkDocs Backend for Foliant,,,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],integrations,https://github.com/foliant-docs/foliantcontrib.mkdocs,https://github.com/foliant-docs/foliantcontrib.mkdocs,MIT,2017-12-14 04:55:02,2022-12-12 07:42:43,2022-12-12 07:41:42,88.0,,3.0,4.0,12.0,,1.0,3.0,2022-12-12 07:42:43,1.0.15,2.0,MkDocs backend for Foliant.,35.0,35.0,5.0,https://pypi.org/project/foliantcontrib.mkdocs,626.0,626.0,12,True,3.0,,,,,,,,,,,,
135,mkdocs-curriculum-vitae,curriculum-vitae,,,Paul-Riviere/mkdocs-curriculum-vitae,mkdocs-curriculum-vitae,['theme'],theming,https://github.com/Paul-Riviere/mkdocs-curriculum-vitae,https://github.com/Paul-Riviere/mkdocs-curriculum-vitae,MIT,2024-08-14 22:15:23,2024-12-13 20:41:08,2024-12-04 15:14:41,73.0,29.0,1.0,1.0,26.0,9.0,26.0,2.0,2024-12-04 15:14:43,0.7.1,12.0,"A simple MkDocs theme, designed to make your curriculum vitae (CV) with minimal configuration, and several themes.",2.0,2.0,3.0,https://pypi.org/project/mkdocs-curriculum-vitae,521.0,521.0,12,True,2.0,,,,,,,,,,,,
136,MarkdownSuperscript,,,,jambonrose/markdown_superscript_extension,MarkdownSuperscript,['markdown'],markdown,https://github.com/jambonrose/markdown_superscript_extension,https://github.com/jambonrose/markdown_superscript_extension,BSD-2-Clause,2014-07-23 02:24:51,2022-12-27 15:35:12,2018-12-02 17:21:33,82.0,,3.0,2.0,56.0,1.0,3.0,2.0,2018-10-09 23:38:17,2.1.1,5.0,An extension to the Python Markdown package enabling superscript text.,47.0,47.0,2.0,https://pypi.org/project/MarkdownSuperscript,1435.0,1435.0,12,True,2.0,,superscript,,,,,,,,,,
