,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,new_addition,gitlab_id,gitlab_url,bitbucket_id
90,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,https://github.com/gristlabs/mkdocs-windmill,https://github.com/gristlabs/mkdocs-windmill,,2017-05-15 03:51:22,2022-12-09 08:16:24,2022-03-11 19:50:40,79.0,,47.0,4.0,34.0,15.0,16.0,98.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,299.0,299.0,8.0,https://pypi.org/project/mkdocs-windmill,3039.0,3039.0,14,True,2.0,,,,,,,,,,,,
91,Terminal for MkDocs,terminal,['terminal/md-to-html'],,ntno/mkdocs-terminal,mkdocs-terminal,['theme'],theming,https://github.com/ntno/mkdocs-terminal,https://github.com/ntno/mkdocs-terminal,MIT,2023-01-02 23:01:44,2023-12-14 06:30:18,2023-04-15 19:03:27,91.0,,1.0,2.0,83.0,25.0,31.0,78.0,2023-04-15 19:04:10,4.4.0,61.0,monospace theme for MkDocs.,66.0,66.0,,https://pypi.org/project/mkdocs-terminal,1072.0,1072.0,14,True,2.0,,,,,,,,,,,,
92,Mdx Truly Sane Lists,,,,radude/mdx_truly_sane_lists,mdx-truly-sane-lists,['markdown'],markdown,https://github.com/radude/mdx_truly_sane_lists,https://github.com/radude/mdx_truly_sane_lists,MIT,2018-02-01 18:01:50,2023-08-08 12:02:52,2022-07-19 13:42:01,54.0,,9.0,4.0,6.0,7.0,8.0,78.0,2022-08-01 19:58:13,1.3,4.0,Extension for Python-Markdown that makes lists truly sane. Custom indents for nested lists and fix for messy..,,,4.0,https://pypi.org/project/mdx-truly-sane-lists,349093.0,349093.0,14,True,2.0,mdx_truly_sane_lists,,,,,,,,,,,
93,Termynal,,termynal,,termynal/termynal.py,termynal,['plugin'],code-exec-templating,https://github.com/termynal/termynal.py,https://github.com/termynal/termynal.py,MIT,2020-11-12 19:59:40,2024-02-18 14:39:05,2024-02-18 14:38:30,78.0,5.0,7.0,1.0,7.0,7.0,8.0,77.0,,,,Python markdown terminal. Built for mkdocs.,157.0,157.0,5.0,https://pypi.org/project/termynal,6463.0,6463.0,14,True,2.0,,,,,,,,,,,,
94,ezlinks,,ezlinks,,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,https://github.com/orbikm/mkdocs-ezlinks-plugin,https://github.com/orbikm/mkdocs-ezlinks-plugin,MIT,2021-02-10 23:10:38,2023-10-20 11:07:06,2022-01-24 19:59:04,40.0,,13.0,2.0,24.0,10.0,14.0,32.0,2022-01-24 20:08:01,_0.1.14,14.0,Plugin for mkdocs which enables easier linking between pages.,103.0,103.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,4182.0,4185.0,14,True,2.0,,,136.0,,,,,,,,,
95,Lightgallery,,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,https://github.com/g-provost/lightgallery-markdown,https://github.com/g-provost/lightgallery-markdown,MIT,2017-12-19 10:35:49,2023-10-07 06:38:59,2023-10-07 06:38:59,23.0,,4.0,3.0,5.0,6.0,5.0,26.0,2021-02-15 09:47:09,0.5,1.0,Markdown extension to wrap images in a lightbox.,92.0,92.0,6.0,https://pypi.org/project/lightgallery,3750.0,3750.0,14,True,2.0,lightgallery,,,,,,,,,,,
96,Markdown Inline Graphviz,,,,cesaremorel/markdown-inline-graphviz,markdown-inline-graphviz-extension,['markdown'],markdown,https://github.com/cesaremorel/markdown-inline-graphviz,https://github.com/cesaremorel/markdown-inline-graphviz,MIT,2019-06-05 21:10:15,2024-01-16 17:52:15,2024-01-16 17:52:15,39.0,,8.0,2.0,5.0,,7.0,4.0,2024-01-16 17:52:46,1.1.3,3.0,Render inline graphs with Markdown and Graphviz.,,,9.0,https://pypi.org/project/markdown-inline-graphviz-extension,186942.0,186942.0,14,True,2.0,markdown_inline_graphviz,,,,,,,,,,,
97,mkdocs-diagrams,,diagrams,,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,https://github.com/zoni/mkdocs-diagrams,https://github.com/zoni/mkdocs-diagrams,MIT,2020-05-16 10:44:25,2020-09-04 08:33:06,2020-09-04 08:27:56,12.0,,3.0,3.0,1.0,1.0,2.0,25.0,,,,MkDocs plugin to render Diagrams files.,59.0,59.0,,https://pypi.org/project/mkdocs-diagrams,18082.0,18082.0,13,True,2.0,,,,,,,,,,,,
98,MkDocs Merge,,,,ovasquez/mkdocs-merge,mkdocs-merge,[],site-management,https://github.com/ovasquez/mkdocs-merge,https://github.com/ovasquez/mkdocs-merge,MIT,2017-06-06 21:33:22,2023-01-21 06:02:45,2023-01-21 05:58:42,27.0,,5.0,1.0,11.0,5.0,3.0,21.0,2023-01-21 06:02:45,0.8.0,6.0,Merge the source of multiple MkDocs sites into a single one.,4.0,4.0,3.0,https://pypi.org/project/mkdocs-merge,2280.0,2280.0,13,True,3.0,,,,,,,,,,,,
99,pheasant,,pheasant,,daizutabi/pheasant,pheasant,['plugin'],code-exec-templating,https://github.com/daizutabi/pheasant,https://github.com/daizutabi/pheasant,MIT,2017-12-25 12:14:27,2020-12-19 23:21:44,2020-12-19 23:21:31,841.0,,9.0,3.0,4.0,,11.0,16.0,,,,Documentation tool for Markdown conversion by Jupyter client.,43.0,43.0,4.0,https://pypi.org/project/pheasant,622.0,622.0,13,True,3.0,,,,,,,,,,,,
100,Autolink References,,autolink_references,,theskumar/autolink-references-mkdocs-plugin,autolink-references-mkdocs-plugin,['plugin'],links-refs,https://github.com/theskumar/autolink-references-mkdocs-plugin,https://github.com/theskumar/autolink-references-mkdocs-plugin,MIT,2020-10-15 05:47:46,2024-04-03 16:08:50,2023-12-28 18:41:22,14.0,,5.0,4.0,5.0,1.0,3.0,16.0,2023-12-28 18:21:54,0.2.2,1.0,mkdocs plugin to provides GitHub like autolink references in Mkdocs.,7.0,7.0,3.0,https://pypi.org/project/autolink-references-mkdocs-plugin,6170.0,6170.0,13,True,2.0,,,,,,,,,,,,
101,Lantana,lantana,,,WSOFT-Project/lantana,lantana,['theme'],theming,https://github.com/WSOFT-Project/lantana,https://github.com/WSOFT-Project/lantana,MIT,2022-10-27 17:47:25,2024-04-19 06:46:06,2024-04-03 03:30:15,113.0,14.0,,1.0,35.0,1.0,18.0,11.0,2024-04-03 03:30:55,2.9.6,29.0,Lantana MKDocsHTML.,3.0,3.0,3.0,https://pypi.org/project/lantana,510.0,520.0,13,True,2.0,,,191.0,,,,,,,,,
102,roamlinks,,roamlinks,,Jackiexiao/mkdocs-roamlinks-plugin,mkdocs-roamlinks-plugin,['plugin'],links-refs,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,MIT,2020-09-05 02:15:33,2023-06-08 06:20:32,2023-06-08 06:20:31,33.0,,13.0,3.0,11.0,,,47.0,,,,An MkDocs plugin that automagically generates relative links between markdown pages.,,,9.0,https://pypi.org/project/mkdocs-roamlinks-plugin,9501.0,9501.0,12,True,2.0,,,,,,,,,,,,
103,multirepo,,,,wilhelmer/mkdocs-multirepo,mkdocs-multirepo,[],site-management,https://github.com/wilhelmer/mkdocs-multirepo,https://github.com/wilhelmer/mkdocs-multirepo,MIT,2020-07-08 12:11:47,2024-01-04 14:10:16,2024-01-04 14:08:12,43.0,,2.0,6.0,1.0,,6.0,33.0,2024-01-04 14:10:16,0.5.2,3.0,"A bit like monorepo, but keeps MkDocs projects separate.",,,3.0,https://pypi.org/project/mkdocs-multirepo,585.0,585.0,12,True,3.0,,,,,,,,,,,,
104,newsletter,,mkdocs-newsletter,,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],blogging,https://github.com/lyz-code/mkdocs-newsletter,https://github.com/lyz-code/mkdocs-newsletter,GPL-3.0,2021-02-10 16:13:44,2024-03-25 17:03:49,2024-03-25 17:02:36,295.0,6.0,2.0,4.0,99.0,3.0,7.0,26.0,,,,Automatically create newsletters from the changes in a mkdocs repository.,39.0,39.0,3.0,https://pypi.org/project/mkdocs-newsletter,806.0,806.0,12,True,3.0,,,,,,,,,,,,
105,markdownmermaid,,markdownmermaid,,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,https://github.com/pugong/mkdocs-mermaid-plugin,https://github.com/pugong/mkdocs-mermaid-plugin,MIT,2018-11-28 13:09:20,2020-03-06 16:12:45,2019-05-26 05:43:37,9.0,,15.0,3.0,6.0,2.0,4.0,26.0,,,,A MkDocs plugin that support mermaid graph in markdown file.,82.0,82.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,6879.0,6879.0,12,True,2.0,,,,,,,,,,,,
106,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,MIT,2023-03-26 20:25:28,2023-10-25 18:42:00,2023-10-24 19:53:03,15.0,,1.0,2.0,1.0,1.0,1.0,19.0,2023-10-24 19:55:54,1.0.3,2.0,This plugin adds JS to open outgoing links and PDFs in a new tab.,146.0,146.0,,https://pypi.org/project/mkdocs-open-in-new-tab,15308.0,15308.0,12,True,2.0,,,,,,,,,,,,
107,Blogs for MkDocs,,blog,,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],blogging,https://github.com/fmaida/mkdocs-blog-plugin,https://github.com/fmaida/mkdocs-blog-plugin,MIT,2020-01-19 13:38:21,2020-04-13 08:11:37,2020-04-13 08:11:31,21.0,,4.0,4.0,,1.0,1.0,16.0,,,,This plugin for MkDocs allows to keeps a really simple blog section inside your documentation site.,98.0,98.0,,https://pypi.org/project/mkdocs-blog-plugin,4427.0,4427.0,12,True,3.0,,,,,,,,['mkdocs_plugin'],,,,
108,mktheapidocs,,mktheapidocs,,greenape/mktheapidocs,mktheapidocs,['plugin'],api-docs,https://github.com/greenape/mktheapidocs,https://github.com/greenape/mktheapidocs,MIT,2018-09-11 13:02:30,2022-06-10 14:37:18,2022-06-10 14:36:01,91.0,,3.0,2.0,64.0,10.0,6.0,12.0,2022-06-10 14:33:49,0.3.0,2.0,Numpydocs - mkdocs friendly markdown.,39.0,39.0,6.0,https://pypi.org/project/mktheapidocs,494.0,494.0,12,True,3.0,,,,,,,,,,,,
109,mkdocs-nav-weight,,mkdocs-nav-weight,,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,https://github.com/shu307/mkdocs-nav-weight,https://github.com/shu307/mkdocs-nav-weight,MIT,2022-08-28 04:55:37,2023-11-17 07:26:12,2023-11-17 07:26:06,30.0,,2.0,2.0,2.0,,1.0,8.0,2023-11-17 05:32:31,0.2.0,8.0,"A simple mkdocs plugin, enables to organize Navigation in a more markdownic way.",42.0,42.0,3.0,https://pypi.org/project/mkdocs-nav-weight,6638.0,6638.0,12,True,2.0,,,,,,,,,,,,
110,pdf-with-js,,pdf-with-js,,smaxtec/mkdocs-pdf-with-js-plugin,mkdocs-pdf-with-js-plugin,['plugin'],site-conversion,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,MIT,2020-06-04 09:48:18,2021-07-23 08:52:22,2021-07-23 08:52:22,13.0,,2.0,5.0,3.0,1.0,,7.0,2021-07-16 06:35:39,0.1.3,3.0,A MkDocs plugin that exports your documentation as PDF with rendered JavaScript content.,11.0,11.0,4.0,https://pypi.org/project/mkdocs-pdf-with-js-plugin,2027.0,2027.0,12,True,3.0,,,,,,,,,,,,
111,mkdocs-mdpo,,mdpo,,mondeja/mkdocs-mdpo-plugin,mkdocs-mdpo-plugin,['plugin'],i18n-l10n,https://github.com/mondeja/mkdocs-mdpo-plugin,https://github.com/mondeja/mkdocs-mdpo-plugin,BSD-3-Clause,2021-04-26 14:53:13,2024-02-29 14:10:54,2023-01-03 16:47:34,107.0,,3.0,2.0,28.0,13.0,24.0,5.0,2022-06-10 13:17:02,0.0.27,27.0,Mkdocs translation plugin using PO files.,,,3.0,https://pypi.org/project/mkdocs-mdpo-plugin,346.0,350.0,12,True,3.0,,,146.0,,,,,,,,,
112,user-defined-values,,user-defined-values,,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,https://github.com/rahult/mkdocs-user-defined-values,https://github.com/rahult/mkdocs-user-defined-values,MIT,2020-01-05 09:26:06,2022-12-26 21:35:05,2022-07-10 05:32:27,36.0,,3.0,3.0,13.0,,1.0,4.0,2020-04-21 10:59:01,0.0.5,4.0,MkDocs User Defined Values.,12.0,12.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,949.0,949.0,12,True,3.0,,,10.0,,,,,,,,,
113,MkDocs Backend for Foliant,,,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],integrations,https://github.com/foliant-docs/foliantcontrib.mkdocs,https://github.com/foliant-docs/foliantcontrib.mkdocs,MIT,2017-12-14 04:55:02,2022-12-12 07:42:43,2022-12-12 07:41:42,88.0,,3.0,4.0,12.0,,1.0,3.0,2022-12-12 07:42:43,1.0.15,2.0,MkDocs backend for Foliant.,31.0,31.0,5.0,https://pypi.org/project/foliantcontrib.mkdocs,324.0,324.0,12,True,3.0,,,,,,,,,,,,
114,mkdocs-link-embeds,,link-embeds,,Aetherinox/mkdocs-link-embeds,mkdocs-link-embeds-plugin,['plugin'],html-css,https://github.com/Aetherinox/mkdocs-link-embeds,https://github.com/Aetherinox/mkdocs-link-embeds,MIT,2024-03-18 13:09:53,2024-04-25 12:21:20,2024-04-13 10:39:32,177.0,177.0,,1.0,1.0,,,2.0,2024-03-22 23:25:45,0.1.10,7.0,"Mkdocs plugin which displays links in a more elegant way. Links will automatically be populated with an image,..",,,,https://pypi.org/project/mkdocs-link-embeds-plugin,321.0,322.0,12,True,3.0,,,1.0,,,,,,,,,
115,Markdown Checklist,,,,FND/markdown-checklist,markdown-checklist,['markdown'],markdown,https://github.com/FND/markdown-checklist,https://github.com/FND/markdown-checklist,MIT,2013-09-01 12:35:20,2022-07-29 13:10:44,2022-07-29 13:08:47,26.0,,32.0,8.0,10.0,1.0,7.0,77.0,,,,Python Markdown extension for lists of tasks with checkboxes.,,,2.0,https://pypi.org/project/markdown-checklist,5335.0,5335.0,11,True,2.0,markdown_checklist.extension,,,,,,,,,,,
116,mkdocs-exporter,,"['exporter', 'exporter-pdf', 'exporter-extras']",,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,https://github.com/adrienbrignon/mkdocs-exporter,https://github.com/adrienbrignon/mkdocs-exporter,MIT,2023-05-05 20:39:10,2024-03-24 08:03:47,2024-03-24 08:03:43,102.0,2.0,,5.0,2.0,3.0,16.0,52.0,2024-03-24 08:03:09,5.3.1,27.0,A plugin for MkDocs that exports your pages as PDF documents.,2.0,2.0,2.0,https://pypi.org/project/mkdocs-exporter,1000.0,1000.0,11,True,3.0,,,,,,,,,,,,
117,Mdx Include,,,,neurobin/mdx_include,mdx-include,['markdown'],snippets-include,https://github.com/neurobin/mdx_include,https://github.com/neurobin/mdx_include,,2018-09-19 21:01:21,2024-03-16 01:40:10,2022-07-26 05:42:09,70.0,,3.0,4.0,3.0,4.0,5.0,50.0,,,,Python Markdown extension to include local or remote files.,,,3.0,https://pypi.org/project/mdx-include,22726.0,22726.0,11,True,3.0,mdx_include,,,,,,,,,,,
118,mkdocs-typer,,,,bruce-szalwinski/mkdocs-typer,mkdocs-typer,['markdown'],api-docs,https://github.com/bruce-szalwinski/mkdocs-typer,https://github.com/bruce-szalwinski/mkdocs-typer,Apache-2.0,2021-01-25 17:46:54,2023-06-21 16:32:56,2023-06-21 16:32:25,22.0,,1.0,2.0,13.0,3.0,3.0,26.0,2023-06-21 16:32:56,0.0.3,3.0,An MkDocs extension to generate documentation for Typer command line applications.,,,,https://pypi.org/project/mkdocs-typer,6846.0,6846.0,11,True,3.0,mkdocs-typer,,,,,,,,,,,
119,add-number,,add-number,,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,https://github.com/ignorantshr/mkdocs-add-number-plugin,https://github.com/ignorantshr/mkdocs-add-number-plugin,MIT,2019-05-25 03:48:30,2020-06-17 07:23:03,2020-06-11 09:35:38,31.0,,3.0,2.0,4.0,2.0,9.0,15.0,,,,MkDocs plugin to automatically number the headings (h1-h6) in each markdown page and the nav.,33.0,33.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,4688.0,4688.0,11,True,3.0,,,,,,,,,,,,
120,snippet,,snippet,,mprivat/mkdocs-snippet-plugin,mkdocs-snippet-plugin,['plugin'],snippets-include,https://github.com/mprivat/mkdocs-snippet-plugin,https://github.com/mprivat/mkdocs-snippet-plugin,MIT,2019-02-27 18:43:14,2021-10-21 22:55:54,2021-10-21 22:55:54,10.0,,3.0,3.0,2.0,3.0,4.0,12.0,,,,An mkdocs plugin that injects snippets from a file in a git repository.,16.0,16.0,3.0,https://pypi.org/project/mkdocs-snippet-plugin,1414.0,1414.0,11,True,3.0,,,,,,,,,,,,
121,mkdocs-categories-plugin,,categories,,eddyluten/mkdocs-categories-plugin,mkdocs-categories-plugin,['plugin'],nav-pages,https://github.com/EddyLuten/mkdocs-categories-plugin,https://github.com/EddyLuten/mkdocs-categories-plugin,MIT,2022-02-24 02:42:22,2024-04-22 03:42:23,2024-04-22 03:42:18,20.0,7.0,,2.0,,,2.0,11.0,2024-02-02 00:00:31,0.5.0,7.0,An MkDocs plugin allowing for categorization of wiki pages.,14.0,14.0,,https://pypi.org/project/mkdocs-categories-plugin,502.0,502.0,11,True,2.0,,,,,,,,,,,,
122,Ivory,ivory,,,daizutabi/mkdocs-ivory,mkdocs-ivory,['theme'],theming,https://github.com/daizutabi/mkdocs-ivory,https://github.com/daizutabi/mkdocs-ivory,MIT,2019-04-14 14:07:26,2020-06-16 07:35:02,2020-06-16 07:34:55,58.0,,4.0,1.0,1.0,2.0,3.0,10.0,,,,Ivory theme for MkDocs.,79.0,79.0,2.0,https://pypi.org/project/mkdocs-ivory,5208.0,5208.0,11,True,2.0,,,,,,,,,,,,
123,mkdocs-d2-plugin,,d2,,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,https://github.com/landmaj/mkdocs-d2-plugin,https://github.com/landmaj/mkdocs-d2-plugin,MIT,2023-09-22 20:56:00,2024-04-24 12:42:09,2024-04-24 12:42:05,46.0,5.0,3.0,1.0,4.0,,5.0,10.0,,,,A plugin for embedding D2 diagrams in MkDocs.,3.0,3.0,3.0,https://pypi.org/project/mkdocs-d2-plugin,5125.0,5125.0,11,True,2.0,,,,,,,,,,,,
124,unused-files,,unused_files,,wilhelmer/mkdocs-unused-files,mkdocs-unused-files,['plugin'],links-refs,https://github.com/wilhelmer/mkdocs-unused-files,https://github.com/wilhelmer/mkdocs-unused-files,MIT,2022-12-14 20:47:40,2023-07-17 15:18:12,2023-07-17 15:12:19,27.0,,1.0,1.0,1.0,,8.0,8.0,2023-07-17 15:18:12,0.2.0,9.0,An MkDocs plugin to find unused (orphaned) files in your project.,19.0,19.0,2.0,https://pypi.org/project/mkdocs-unused-files,3074.0,3074.0,11,True,3.0,,,,,,,,,,,,
125,KPN for MkDocs,kpn,,,kpn/mkdocs-kpn-theme,mkdocs-kpn,['theme'],theming,https://github.com/kpn/mkdocs-kpn-theme,https://github.com/kpn/mkdocs-kpn-theme,MIT,2020-04-02 12:00:18,2024-01-31 08:38:35,2024-01-31 08:38:05,158.0,7.0,,10.0,3.0,,4.0,7.0,,,,KPN theme for MkDocs | owner=flow.,3.0,3.0,3.0,https://pypi.org/project/mkdocs-kpn,1114.0,1114.0,11,True,2.0,,,,,,,,,,,,
126,SWAN,swan,,,swan-cern/mkdocs-swan,mkdocs-swan,['theme'],theming,https://github.com/swan-cern/mkdocs-swan,https://github.com/swan-cern/mkdocs-swan,AGPL-3.0,2020-06-06 18:14:12,2024-01-23 09:36:43,2024-01-23 09:36:42,22.0,,3.0,3.0,4.0,,,4.0,2024-01-23 09:37:16,0.4.0,8.0,SWAN MkDocs theme.,3.0,3.0,4.0,https://pypi.org/project/mkdocs-swan,126.0,126.0,11,True,2.0,,,,,,,,,,,,
127,MarkdownSubscript,,,,jambonrose/markdown_subscript_extension,MarkdownSubscript,['markdown'],markdown,https://github.com/jambonrose/markdown_subscript_extension,https://github.com/jambonrose/markdown_subscript_extension,BSD-2-Clause,2014-07-29 13:25:32,2022-12-27 15:35:33,2018-12-02 17:22:16,52.0,,1.0,2.0,62.0,2.0,3.0,3.0,2018-10-10 00:13:20,2.1.1,5.0,An extension to the Python Markdown package enabling subscript text.,54.0,54.0,2.0,https://pypi.org/project/MarkdownSubscript,276.0,276.0,11,True,2.0,subscript,,,,,,,,,,,
128,MarkdownSuperscript,,,,jambonrose/markdown_superscript_extension,MarkdownSuperscript,['markdown'],markdown,https://github.com/jambonrose/markdown_superscript_extension,https://github.com/jambonrose/markdown_superscript_extension,BSD-2-Clause,2014-07-23 02:24:51,2022-12-27 15:35:12,2018-12-02 17:21:33,82.0,,3.0,2.0,56.0,1.0,3.0,2.0,2018-10-09 23:38:17,2.1.1,5.0,An extension to the Python Markdown package enabling superscript text.,43.0,43.0,2.0,https://pypi.org/project/MarkdownSuperscript,741.0,741.0,11,True,2.0,superscript,,,,,,,,,,,
129,mkdocs-version-annotations,,mkdocs-version-annotations,,glennmatthews/mkdocs-version-annotations,mkdocs-version-annotations,['plugin'],snippets-include,https://github.com/glennmatthews/mkdocs-version-annotations,https://github.com/glennmatthews/mkdocs-version-annotations,MIT,2022-09-14 15:06:14,2022-09-14 15:15:44,2022-09-14 15:05:30,5.0,,,2.0,,1.0,,1.0,2022-09-14 15:15:45,1.0.0,1.0,MkDocs plugin to add custom admonitions for documenting version differences.,209.0,209.0,,https://pypi.org/project/mkdocs-version-annotations,6630.0,6630.0,11,True,3.0,,,8.0,,,,,,,,,
130,MkRefs,,mkrefs,,DerwenAI/mkrefs,mkrefs,['plugin'],nav-pages,https://github.com/DerwenAI/mkrefs,https://github.com/DerwenAI/mkrefs,MIT,2021-05-10 15:58:53,2023-08-31 15:32:44,2023-08-31 15:32:44,51.0,,,4.0,10.0,,,28.0,2021-06-27 17:55:28,0.2.0,2.0,MkDocs plugin to generate semantic reference Markdown pages from a knowledge graph.,3.0,3.0,2.0,https://pypi.org/project/mkrefs,47.0,47.0,10,True,3.0,,,,,,,,,,,,
131,MkDocs Img2Fig Plugin,,img2fig,,stuebersystems/mkdocs-img2fig-plugin,mkdocs-img2fig-plugin,['plugin'],charts,https://github.com/stuebersystems/mkdocs-img2fig-plugin,https://github.com/stuebersystems/mkdocs-img2fig-plugin,MIT,2019-05-09 09:48:11,2022-04-15 06:05:55,2020-07-14 09:36:02,8.0,,7.0,3.0,3.0,2.0,1.0,18.0,,,,A MkDocs plugin that converts markdown encoded images into figure elements.,110.0,110.0,2.0,https://pypi.org/project/mkdocs-img2fig-plugin,2269.0,2269.0,10,True,3.0,,,,,,,,,,,,
132,markdown-captions,,,,Evidlo/markdown_captions,markdown-captions,['markdown'],charts,https://github.com/Evidlo/markdown_captions,https://github.com/Evidlo/markdown_captions,GPL-3.0,2019-05-24 18:04:31,2023-05-24 18:47:12,2023-05-24 18:47:09,20.0,,4.0,4.0,1.0,1.0,6.0,9.0,,,,Python-Markdown plugin for image captions.,140.0,140.0,2.0,https://pypi.org/project/markdown-captions,2673.0,2673.0,10,True,3.0,markdown_captions,,,,,,,,,,,
133,Zettelkasten,zettelkasten-solarized-light,['zettelkasten'],,buvis/mkdocs-zettelkasten,mkdocs-zettelkasten,['theme'],theming,https://github.com/buvis/mkdocs-zettelkasten,https://github.com/buvis/mkdocs-zettelkasten,MIT,2021-11-24 19:48:08,2024-02-19 08:48:06,2024-02-19 08:47:46,52.0,4.0,,1.0,13.0,7.0,3.0,8.0,2022-11-25 12:19:12,0.1.8,3.0,This is a Zettelkasten theme and plugin for MkDocs. It renders the MkDocs pages as cards (zettels).,3.0,3.0,3.0,https://pypi.org/project/mkdocs-zettelkasten,80.0,80.0,10,True,3.0,,,19.0,,,,,,,,,
134,placeholder,,placeholder,,six-two/mkdocs-placeholder-plugin,mkdocs-placeholder-plugin,['plugin'],code-exec-templating,https://github.com/six-two/mkdocs-placeholder-plugin,https://github.com/six-two/mkdocs-placeholder-plugin,MIT,2022-07-24 08:54:44,2024-04-24 19:27:42,2024-04-24 19:27:35,189.0,19.0,3.0,1.0,1.0,1.0,4.0,7.0,,,,Add placeholders to your MkDocs pages.,,,2.0,https://pypi.org/project/mkdocs-placeholder-plugin,740.0,740.0,10,True,3.0,,2.0,,,,,,,,,,
135,ezglossary,,ezglossary,,realtimeprojects/mkdocs-ezglossary,mkdocs-ezglossary-plugin,['plugin'],links-refs,https://github.com/realtimeprojects/mkdocs-ezglossary,https://github.com/realtimeprojects/mkdocs-ezglossary,MIT,2023-08-31 10:00:21,2024-04-24 16:33:57,2024-04-24 16:33:48,137.0,38.0,,2.0,,1.0,14.0,6.0,,,,Glossary support for mkdocs.,,,,https://pypi.org/project/mkdocs-ezglossary-plugin,1623.0,1623.0,10,True,3.0,,,,,,,,,,,,
136,link-marker,,link-marker,,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],links-refs,https://github.com/timmeinerzhagen/mkdocs-link-marker,https://github.com/timmeinerzhagen/mkdocs-link-marker,MIT,2023-02-02 20:34:28,2024-02-25 21:23:36,2024-02-25 21:22:03,10.0,3.0,1.0,1.0,7.0,2.0,2.0,4.0,2024-02-25 21:23:36,0.1.3,3.0,MkDocs plugin for marking links e.g. external ones or mails.,7.0,7.0,2.0,https://pypi.org/project/mkdocs-link-marker,2247.0,2247.0,10,True,3.0,,,,,,,,,,,,
137,toc-sidebar,,toc-sidebar,,zachhannum/mkdocs-toc-sidebar-plugin,mkdocs-toc-sidebar-plugin,['plugin'],nav-pages,https://github.com/zachhannum/mkdocs-toc-sidebar-plugin,https://github.com/zachhannum/mkdocs-toc-sidebar-plugin,MIT,2020-01-11 06:11:10,2021-05-30 09:12:08,2020-01-11 13:04:15,9.0,,3.0,3.0,3.0,3.0,,4.0,2020-01-11 07:19:38,_010,1.0,An MkDocs plugin that allows users to add additional content to the ToC sidebar using the Material theme.,34.0,34.0,2.0,https://pypi.org/project/mkdocs-toc-sidebar-plugin,4960.0,4960.0,10,True,3.0,,,,,,,,,,,,
138,vim-md-tags,,vim-md-tags,,zachhannum/mkdocs-vim-md-tags-plugin,mkdocs-vim-md-tags-plugin,['plugin'],nav-pages,https://github.com/zachhannum/mkdocs-vim-md-tags-plugin,https://github.com/zachhannum/mkdocs-vim-md-tags-plugin,MIT,2020-01-11 18:58:18,2020-05-08 18:43:26,2020-05-08 18:42:07,13.0,,1.0,4.0,1.0,,,4.0,2020-05-08 18:43:26,_020,2.0,An MkDocs plugin that creates a vim tag file of all markdown files.,10.0,10.0,4.0,https://pypi.org/project/mkdocs-vim-md-tags-plugin,173.0,173.0,10,True,3.0,,,,,,,,,,,,
