,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,new_addition,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
92,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,MIT,2023-03-26 20:25:28,2023-10-25 18:42:00,2023-10-24 19:53:03,15.0,2.0,1.0,2.0,1.0,1.0,1.0,12.0,2023-10-24 19:55:54,1.0.3,2.0,This plugin adds JS to open outgoing links and PDFs in a new tab.,67.0,67.0,,https://pypi.org/project/mkdocs-open-in-new-tab,5353.0,5353.0,12,False,2.0,,,,,,,,,
93,unused-files,,unused_files,,wilhelmer/mkdocs-unused-files,mkdocs-unused-files,['plugin'],links-refs,https://github.com/wilhelmer/mkdocs-unused-files,https://github.com/wilhelmer/mkdocs-unused-files,MIT,2022-12-14 20:47:40,2023-07-17 15:18:12,2023-07-17 15:12:19,27.0,,1.0,1.0,1.0,,7.0,7.0,2023-07-17 15:18:12,0.2.0,9.0,An MkDocs plugin to find unused (orphaned) files in your project.,11.0,11.0,2.0,https://pypi.org/project/mkdocs-unused-files,2256.0,2256.0,12,False,2.0,,,,,,,,,
94,file-filter,,file-filter,,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,MIT,2023-02-01 20:21:43,2023-11-14 20:05:55,2023-11-14 20:05:54,60.0,7.0,2.0,1.0,126.0,3.0,7.0,7.0,2023-07-22 18:06:06,0.1.0,9.0,"A MkDocs plugin that lets you exclude/include docs files using globs, regexes, gitignore-style file and..",2.0,2.0,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,2925.0,2928.0,12,False,2.0,,,31.0,,,,,,
95,user-defined-values,,user-defined-values,,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,https://github.com/rahult/mkdocs-user-defined-values,https://github.com/rahult/mkdocs-user-defined-values,MIT,2020-01-05 09:26:06,2022-12-26 21:35:05,2022-07-10 05:32:27,36.0,,3.0,3.0,13.0,,1.0,4.0,2020-04-21 10:59:01,0.0.5,4.0,MkDocs User Defined Values.,11.0,11.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,800.0,800.0,12,False,3.0,,,10.0,,,,,,
96,MkDocs Backend for Foliant,,,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],integrations,https://github.com/foliant-docs/foliantcontrib.mkdocs,https://github.com/foliant-docs/foliantcontrib.mkdocs,MIT,2017-12-14 04:55:02,2022-12-12 07:42:43,2022-12-12 07:41:42,88.0,,3.0,3.0,12.0,,1.0,3.0,2022-12-12 07:42:43,1.0.15,2.0,MkDocs backend for Foliant.,29.0,29.0,5.0,https://pypi.org/project/foliantcontrib.mkdocs,156.0,156.0,12,False,3.0,,1.0,,,,,,,
97,mkdocs-nav-weight,,mkdocs-nav-weight,,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,https://github.com/shu307/mkdocs-nav-weight,https://github.com/shu307/mkdocs-nav-weight,MIT,2022-08-28 04:55:37,2023-11-16 15:54:29,2023-11-16 15:54:25,26.0,7.0,2.0,1.0,2.0,,1.0,3.0,2023-10-24 13:09:20,0.1.0,7.0,"A simple mkdocs plugin, enables to organize Navigation in a more markdownic way.",5.0,5.0,3.0,https://pypi.org/project/mkdocs-nav-weight,1402.0,1402.0,12,False,2.0,,,,,,,,,
98,Markdown Checklist,,,,FND/markdown-checklist,markdown-checklist,['markdown'],markdown,https://github.com/FND/markdown-checklist,https://github.com/FND/markdown-checklist,MIT,2013-09-01 12:35:20,2022-07-29 13:10:44,2022-07-29 13:08:47,26.0,,32.0,8.0,10.0,1.0,7.0,75.0,,,,Python Markdown extension for lists of tasks with checkboxes.,,,2.0,https://pypi.org/project/markdown-checklist,5303.0,5303.0,11,True,2.0,markdown_checklist.extension,,,,,,,,
99,roamlinks,,roamlinks,,Jackiexiao/mkdocs-roamlinks-plugin,mkdocs-roamlinks-plugin,['plugin'],links-refs,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,MIT,2020-09-05 02:15:33,2023-06-08 06:20:32,2023-06-08 06:20:31,33.0,,14.0,3.0,11.0,,,43.0,,,,An MkDocs plugin that automagically generates relative links between markdown pages.,,,9.0,https://pypi.org/project/mkdocs-roamlinks-plugin,6605.0,6605.0,11,True,2.0,,,,,,,,,
100,MkDocs Merge,,,,ovasquez/mkdocs-merge,mkdocs-merge,[],site-management,https://github.com/ovasquez/mkdocs-merge,https://github.com/ovasquez/mkdocs-merge,MIT,2017-06-06 21:33:22,2023-01-21 06:02:45,2023-01-21 05:58:42,27.0,,5.0,1.0,11.0,4.0,3.0,20.0,2023-01-21 06:02:45,0.8.0,6.0,Merge the source of multiple MkDocs sites into a single one.,4.0,4.0,3.0,https://pypi.org/project/mkdocs-merge,954.0,954.0,11,True,3.0,,,,,,,,,
101,mkdocs-typer,,,,bruce-szalwinski/mkdocs-typer,mkdocs-typer,['markdown'],api-docs,https://github.com/bruce-szalwinski/mkdocs-typer,https://github.com/bruce-szalwinski/mkdocs-typer,Apache-2.0,2021-01-25 17:46:54,2023-06-21 16:32:56,2023-06-21 16:32:25,22.0,,1.0,2.0,13.0,2.0,2.0,18.0,2023-06-21 16:32:56,0.0.3,3.0,An MkDocs extension to generate documentation for Typer command line applications.,,,,https://pypi.org/project/mkdocs-typer,9882.0,9882.0,11,False,3.0,mkdocs-typer,,,,,,,,
102,Ivory,ivory,,,daizutabi/mkdocs-ivory,mkdocs-ivory,['theme'],theming,https://github.com/daizutabi/mkdocs-ivory,https://github.com/daizutabi/mkdocs-ivory,MIT,2019-04-14 14:07:26,2020-06-16 07:35:02,2020-06-16 07:34:55,58.0,,4.0,1.0,1.0,2.0,3.0,11.0,,,,Ivory theme for MkDocs.,65.0,65.0,2.0,https://pypi.org/project/mkdocs-ivory,4576.0,4576.0,11,False,2.0,,,,,,,,,
103,Github-Links,,,,Python-Markdown/github-links,mdx-gh-links,['markdown'],git-info,https://github.com/Python-Markdown/github-links,https://github.com/Python-Markdown/github-links,,2017-11-07 21:22:03,2023-07-31 18:42:17,2023-07-31 18:42:17,22.0,,8.0,5.0,10.0,,3.0,7.0,,,,Python-Markdown GitHub Links Extension.,106.0,106.0,3.0,https://pypi.org/project/mdx-gh-links,5502.0,5502.0,11,False,3.0,mdx_gh_links,,,,,,,,
104,mkdocs-mdpo,,mdpo,,mondeja/mkdocs-mdpo-plugin,mkdocs-mdpo-plugin,['plugin'],i18n-l10n,https://github.com/mondeja/mkdocs-mdpo-plugin,https://github.com/mondeja/mkdocs-mdpo-plugin,BSD-3-Clause,2021-04-26 14:53:13,2023-01-03 16:47:35,2023-01-03 16:47:34,107.0,,3.0,2.0,27.0,12.0,24.0,5.0,2022-06-10 13:17:02,0.0.27,27.0,Mkdocs translation plugin using PO files.,,,3.0,https://pypi.org/project/mkdocs-mdpo-plugin,311.0,315.0,11,False,3.0,,,146.0,,,,,,
105,pdf-with-js,,pdf-with-js,,smaxtec/mkdocs-pdf-with-js-plugin,mkdocs-pdf-with-js-plugin,['plugin'],site-conversion,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,MIT,2020-06-04 09:48:18,2021-07-23 08:52:22,2021-07-23 08:52:22,13.0,,2.0,5.0,3.0,1.0,,5.0,2021-07-16 06:35:39,0.1.3,3.0,A MkDocs plugin that exports your documentation as PDF with rendered JavaScript content.,11.0,11.0,4.0,https://pypi.org/project/mkdocs-pdf-with-js-plugin,604.0,604.0,11,False,3.0,,,,,,,,,
106,MarkdownSubscript,,,,jambonrose/markdown_subscript_extension,MarkdownSubscript,['markdown'],markdown,https://github.com/jambonrose/markdown_subscript_extension,https://github.com/jambonrose/markdown_subscript_extension,BSD-2-Clause,2014-07-29 13:25:32,2022-12-27 15:35:33,2018-12-02 17:22:16,52.0,,2.0,2.0,62.0,2.0,3.0,3.0,2018-10-10 00:13:20,2.1.1,5.0,An extension to the Python Markdown package enabling subscript text.,54.0,54.0,2.0,https://pypi.org/project/MarkdownSubscript,231.0,231.0,11,False,2.0,subscript,,,,,,,,
107,MarkdownSuperscript,,,,jambonrose/markdown_superscript_extension,MarkdownSuperscript,['markdown'],markdown,https://github.com/jambonrose/markdown_superscript_extension,https://github.com/jambonrose/markdown_superscript_extension,BSD-2-Clause,2014-07-23 02:24:51,2022-12-27 15:35:12,2018-12-02 17:21:33,82.0,,3.0,2.0,56.0,1.0,3.0,2.0,2018-10-09 23:38:17,2.1.1,5.0,An extension to the Python Markdown package enabling superscript text.,42.0,42.0,2.0,https://pypi.org/project/MarkdownSuperscript,2650.0,2650.0,11,False,2.0,superscript,,,,,,,,
108,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2023-11-14 06:24:46,2023-11-14 06:24:45,118.0,75.0,,1.0,105.0,,,1.0,2023-07-08 14:05:55,0.1.0,1.0,"MkDocs plugin for minification using minify-html, an extremely fast HTML + JS + CSS minifier.",10.0,10.0,2.0,https://pypi.org/project/mkdocs-minify-html-plugin,840.0,840.0,11,False,2.0,,,,,,,,,
109,MkDocs Basic Theme,basictheme,,,mkdocs/mkdocs-basic-theme,mkdocs-basic-theme,['theme'],theming,https://github.com/mkdocs/mkdocs-basic-theme,https://github.com/mkdocs/mkdocs-basic-theme,BSD-2-Clause,2015-04-24 22:45:18,2023-11-08 06:08:58,2023-11-08 06:08:53,25.0,1.0,39.0,8.0,14.0,1.0,2.0,47.0,,,,An example very very simple MkDocs theme.,8.0,8.0,6.0,https://pypi.org/project/mkdocs-basic-theme,41.0,41.0,10,True,2.0,,,,,,,,,
110,mkdocs-diagrams,,diagrams,,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,https://github.com/zoni/mkdocs-diagrams,https://github.com/zoni/mkdocs-diagrams,MIT,2020-05-16 10:44:25,2020-09-04 08:33:06,2020-09-04 08:27:56,12.0,,2.0,2.0,1.0,1.0,1.0,23.0,,,,MkDocs plugin to render Diagrams files.,53.0,53.0,,https://pypi.org/project/mkdocs-diagrams,5730.0,5730.0,10,True,3.0,,,,,,,,,
111,docutools,,"['lcd-find-pages', 'lcd-custom-dir', 'lcd-blacklist', 'lcd-lp', 'lcd-md-replace', 'lcd-page-tree', 'lcd-stats']",,axiros/docutools,docutools,['plugin'],charts,https://github.com/axiros/docutools,https://github.com/axiros/docutools,BSD-2-Clause,2021-10-04 21:36:07,2023-09-04 16:57:48,2023-09-04 16:57:44,438.0,3.0,,7.0,,1.0,1.0,19.0,,,,Dev Centric Tools for Mkdocs Based Documentation.,6.0,6.0,3.0,https://pypi.org/project/docutools,274.0,274.0,10,False,3.0,,,,,,,,,
112,add-number,,add-number,,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,https://github.com/ignorantshr/mkdocs-add-number-plugin,https://github.com/ignorantshr/mkdocs-add-number-plugin,MIT,2019-05-25 03:48:30,2020-06-17 07:23:03,2020-06-11 09:35:38,31.0,,3.0,2.0,4.0,2.0,9.0,13.0,,,,MkDocs plugin to automatically number the headings (h1-h6) in each markdown page and the nav.,30.0,30.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,757.0,757.0,10,False,2.0,,,,,,,,,
113,snippet,,snippet,,mprivat/mkdocs-snippet-plugin,mkdocs-snippet-plugin,['plugin'],snippets-include,https://github.com/mprivat/mkdocs-snippet-plugin,https://github.com/mprivat/mkdocs-snippet-plugin,MIT,2019-02-27 18:43:14,2021-10-21 22:55:54,2021-10-21 22:55:54,10.0,,3.0,3.0,2.0,3.0,4.0,12.0,,,,An mkdocs plugin that injects snippets from a file in a git repository.,11.0,11.0,3.0,https://pypi.org/project/mkdocs-snippet-plugin,307.0,307.0,10,False,3.0,,,,,,,,,
114,mkdocs-categories-plugin,,categories,,eddyluten/mkdocs-categories-plugin,mkdocs-categories-plugin,['plugin'],nav-pages,https://github.com/EddyLuten/mkdocs-categories-plugin,https://github.com/EddyLuten/mkdocs-categories-plugin,MIT,2022-02-24 02:42:22,2023-06-23 19:16:01,2023-06-23 19:15:59,13.0,,,1.0,,,2.0,11.0,2023-06-20 05:00:21,0.4.0,6.0,An MkDocs plugin allowing for categorization of wiki pages.,11.0,11.0,,https://pypi.org/project/mkdocs-categories-plugin,250.0,250.0,10,False,2.0,,,,,,,,,
115,markdown-captions,,,,Evidlo/markdown_captions,markdown-captions,['markdown'],charts,https://github.com/Evidlo/markdown_captions,https://github.com/Evidlo/markdown_captions,GPL-3.0,2019-05-24 18:04:31,2023-05-24 18:47:12,2023-05-24 18:47:09,20.0,,4.0,4.0,1.0,1.0,6.0,8.0,,,,Python-Markdown plugin for image captions.,127.0,127.0,2.0,https://pypi.org/project/markdown-captions,3590.0,3590.0,10,False,3.0,markdown_captions,,,True,,,,,
116,mkdocs_safe_text,,mkdocs_safe_text,,raimon49/mkdocs-safe-text-plugin,mkdocs-safe-text-plugin,['plugin'],html-css,https://github.com/raimon49/mkdocs-safe-text-plugin,https://github.com/raimon49/mkdocs-safe-text-plugin,BSD-2-Clause,2018-01-20 11:15:30,2023-10-20 02:33:52,2023-10-20 02:33:49,204.0,6.0,,3.0,27.0,,,3.0,2022-11-20 04:04:00,-1.5.1,15.0,Plugin for safe text editing with MKDocs.,,,2.0,https://pypi.org/project/mkdocs-safe-text-plugin,155.0,155.0,10,False,2.0,,,,,,,,,
117,mkdocs-code-validator,,code-validator,,oprypin/mkdocs-code-validator,mkdocs-code-validator,['plugin'],quality,https://github.com/oprypin/mkdocs-code-validator,https://github.com/oprypin/mkdocs-code-validator,MIT,2021-03-30 19:03:22,2023-11-04 12:58:41,2023-11-04 12:52:59,43.0,13.0,,2.0,,,,1.0,,,,Checks Markdown code blocks in a MkDocs site against user-defined actions.,12.0,12.0,,https://pypi.org/project/mkdocs-code-validator,370.0,370.0,10,False,3.0,,,,,,,,,
118,mkdocs-version-annotations,,mkdocs-version-annotations,,glennmatthews/mkdocs-version-annotations,mkdocs-version-annotations,['plugin'],snippets-include,https://github.com/glennmatthews/mkdocs-version-annotations,https://github.com/glennmatthews/mkdocs-version-annotations,MIT,2022-09-14 15:06:14,2022-09-14 15:15:44,2022-09-14 15:05:30,5.0,,,2.0,,1.0,,1.0,2022-09-14 15:15:45,1.0.0,1.0,MkDocs plugin to add custom admonitions for documenting version differences.,187.0,187.0,,https://pypi.org/project/mkdocs-version-annotations,4450.0,4450.0,10,False,3.0,,,8.0,,,,,,
119,Mdx Include,,,,neurobin/mdx_include,mdx-include,['markdown'],snippets-include,https://github.com/neurobin/mdx_include,https://github.com/neurobin/mdx_include,,2018-09-19 21:01:21,2022-07-26 05:44:16,2022-07-26 05:42:09,70.0,,2.0,4.0,2.0,3.0,5.0,50.0,,,,Python Markdown extension to include local or remote files.,,,3.0,https://pypi.org/project/mdx-include,13295.0,13295.0,9,True,3.0,mdx_include,,,,,,,,
120,tags,,tags,,jldiaz/mkdocs-plugin-tags,mkdocs-plugin-tags,['plugin'],search-toc,https://github.com/jldiaz/mkdocs-plugin-tags,https://github.com/jldiaz/mkdocs-plugin-tags,MIT,2019-10-21 15:51:50,2021-09-02 19:03:31,2021-09-02 19:03:31,7.0,,19.0,3.0,4.0,6.0,8.0,41.0,,,,Processes tags in yaml metadata.,,,3.0,https://pypi.org/project/mkdocs-plugin-tags,431.0,431.0,9,True,3.0,,,,,,,,,
121,multirepo,,,,wilhelmer/mkdocs-multirepo,mkdocs-multirepo,[],site-management,https://github.com/wilhelmer/mkdocs-multirepo,https://github.com/wilhelmer/mkdocs-multirepo,MIT,2020-07-08 12:11:47,2022-01-11 15:38:49,2022-01-11 15:34:30,42.0,,2.0,6.0,1.0,,4.0,31.0,2022-01-11 15:38:50,0.5.1,2.0,"A bit like monorepo, but keeps MkDocs projects separate.",,,2.0,https://pypi.org/project/mkdocs-multirepo,134.0,134.0,9,True,3.0,,,,,,,,,
122,MkDocs Img2Fig Plugin,,img2fig,,stuebersystems/mkdocs-img2fig-plugin,mkdocs-img2fig-plugin,['plugin'],charts,https://github.com/stuebersystems/mkdocs-img2fig-plugin,https://github.com/stuebersystems/mkdocs-img2fig-plugin,MIT,2019-05-09 09:48:11,2022-04-15 06:05:55,2020-07-14 09:36:02,8.0,,7.0,2.0,3.0,2.0,1.0,18.0,,,,A MkDocs plugin that converts markdown encoded images into figure elements.,102.0,102.0,2.0,https://pypi.org/project/mkdocs-img2fig-plugin,2091.0,2091.0,9,False,3.0,,,,,,,,,
123,mkdocs-alias-plugin,,alias,,eddyluten/mkdocs-alias-plugin,mkdocs-alias-plugin,['plugin'],links-refs,https://github.com/EddyLuten/mkdocs-alias-plugin,https://github.com/EddyLuten/mkdocs-alias-plugin,MIT,2022-02-13 01:23:30,2023-06-23 19:17:02,2023-06-23 19:17:01,21.0,,1.0,1.0,2.0,1.0,3.0,10.0,2023-04-17 22:36:21,0.6.0,7.0,An MkDocs plugin allowing links to your pages using a custom alias.,9.0,9.0,2.0,https://pypi.org/project/mkdocs-alias-plugin,629.0,629.0,9,False,2.0,,,,,,,,,
124,mkdocs-site-urls,,site-urls,,OctoPrint/mkdocs-site-urls,mkdocs-site-urls,['plugin'],links-refs,https://github.com/OctoPrint/mkdocs-site-urls,https://github.com/OctoPrint/mkdocs-site-urls,MIT,2023-07-28 11:55:04,2023-07-31 09:20:53,2023-07-31 09:20:53,8.0,,1.0,2.0,,,1.0,9.0,2023-07-31 09:00:30,0.2.0,2.0,A MkDocs plugin that adds support for site-relative `site:` URLs.,4.0,4.0,,https://pypi.org/project/mkdocs-site-urls,6272.0,6272.0,9,False,2.0,,,,,,,,,
125,KPN for MkDocs,kpn,,,kpn/mkdocs-kpn-theme,mkdocs-kpn,['theme'],theming,https://github.com/kpn/mkdocs-kpn-theme,https://github.com/kpn/mkdocs-kpn-theme,MIT,2020-04-02 12:00:18,2023-08-04 14:18:34,2023-07-25 15:59:38,151.0,,,10.0,2.0,,4.0,7.0,,,,KPN theme for MkDocs | owner=flow.,2.0,2.0,3.0,https://pypi.org/project/mkdocs-kpn,402.0,402.0,9,False,2.0,,,,,,,,,
126,Link Checker,,,,byrnereese/linkchecker-mkdocs,mkdocs-linkcheck,[],quality,https://github.com/byrnereese/linkchecker-mkdocs,https://github.com/byrnereese/linkchecker-mkdocs,MIT,2021-08-16 16:44:47,2023-07-14 20:12:42,2021-08-24 18:08:03,70.0,,4.0,1.0,5.0,7.0,,7.0,,,,"Python asyncio + aiohttp Markdown *.md URL link checker: 10,000 files/second.",,,5.0,https://pypi.org/project/mkdocs-linkcheck,2421.0,2421.0,9,False,3.0,,,,,,,,,
127,Breakless Lists,,,,adamb70/mdx-breakless-lists,mdx-breakless-lists,['markdown'],markdown,https://github.com/adamb70/mdx-breakless-lists,https://github.com/adamb70/mdx-breakless-lists,MIT,2020-08-30 01:16:09,2022-12-19 10:48:58,2020-10-08 22:02:50,10.0,,2.0,1.0,2.0,1.0,1.0,5.0,2020-10-08 22:01:08,1.0.1,2.0,Python markdown breakless lists extension.,,,,https://pypi.org/project/mdx-breakless-lists,9129.0,9129.0,9,False,2.0,mdx_breakless_lists,,,,,,,,
128,Zettelkasten,zettelkasten-solarized-light,['zettelkasten'],,buvis-net/mkdocs-zettelkasten,mkdocs-zettelkasten,['theme'],theming,https://github.com/buvis/mkdocs-zettelkasten,https://github.com/buvis/mkdocs-zettelkasten,MIT,2021-11-24 19:48:08,2023-10-10 08:23:53,2023-10-10 08:23:41,48.0,4.0,,1.0,11.0,6.0,3.0,4.0,2022-11-25 12:19:12,0.1.8,3.0,This is a Zettelkasten theme and plugin for MkDocs. It renders the MkDocs pages as cards (zettels).,2.0,2.0,3.0,https://pypi.org/project/mkdocs-zettelkasten,34.0,34.0,9,False,2.0,,,19.0,,buvis/mkdocs-zettelkasten,,,,
129,mkdocs-d2-plugin,,d2,,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,https://github.com/landmaj/mkdocs-d2-plugin,https://github.com/landmaj/mkdocs-d2-plugin,MIT,2023-09-22 20:56:00,2023-11-12 18:53:55,2023-11-12 18:53:50,34.0,34.0,1.0,1.0,1.0,1.0,2.0,4.0,2023-11-06 19:46:56,1.1.0,2.0,A plugin for embedding D2 diagrams in MkDocs.,2.0,2.0,2.0,https://pypi.org/project/mkdocs-d2-plugin,753.0,753.0,9,False,3.0,,,,True,,,,,
130,toc-sidebar,,toc-sidebar,,midnightprioriem/mkdocs-toc-sidebar-plugin,mkdocs-toc-sidebar-plugin,['plugin'],nav-pages,https://github.com/zachhannum/mkdocs-toc-sidebar-plugin,https://github.com/zachhannum/mkdocs-toc-sidebar-plugin,MIT,2020-01-11 06:11:10,2021-05-30 09:12:08,2020-01-11 13:04:15,9.0,,3.0,3.0,3.0,3.0,,4.0,2020-01-11 07:19:38,_010,1.0,An MkDocs plugin that allows users to add additional content to the ToC sidebar using the Material theme.,28.0,28.0,2.0,https://pypi.org/project/mkdocs-toc-sidebar-plugin,473.0,473.0,9,False,3.0,,,,,zachhannum/mkdocs-toc-sidebar-plugin,,,,
131,mkdocs-nav-enhancements,,mkdocs-nav-enhancements,,Rylon/mkdocs-nav-enhancements,mkdocs-nav-enhancements,['plugin'],nav-pages,https://github.com/Rylon/mkdocs-nav-enhancements,https://github.com/Rylon/mkdocs-nav-enhancements,MIT,2019-07-15 23:39:57,2019-07-24 10:09:41,2019-07-24 10:08:04,16.0,,,1.0,,1.0,,3.0,,,,WIP plugin for working with titles of pages in MkDocs.,32.0,32.0,,https://pypi.org/project/mkdocs-nav-enhancements,3197.0,3197.0,9,False,3.0,,,,,,,,,
132,mkdocs-extra-sass-plugin,,extra-sass,,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,https://github.com/orzih/mkdocs-extra-sass-plugin,https://github.com/orzih/mkdocs-extra-sass-plugin,MIT,2021-01-30 04:11:09,2023-04-21 20:51:40,2021-02-13 10:11:46,2.0,,2.0,,2.0,3.0,,2.0,2021-01-30 04:25:34,0.1.0,1.0,Adds stylesheets to your mkdocs site from Sass/SCSS.,10.0,10.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,3999.0,3999.0,9,False,3.0,,,,True,,,,,
133,Entangled,,entangled,,entangled/mkdocs-plugin,mkdocs-entangled-plugin,['plugin'],code-exec-templating,https://github.com/entangled/mkdocs-plugin,https://github.com/entangled/mkdocs-plugin,Apache-2.0,2023-04-11 13:06:53,2023-10-14 12:19:27,2023-10-14 12:16:09,28.0,4.0,,1.0,,,1.0,,,,4.0,An MkDocs plugin that lets you do Literate Programming through Entangled.,5.0,5.0,,https://pypi.org/project/mkdocs-entangled-plugin,173.0,173.0,9,True,3.0,,,,,,,,,
134,automacdoc,,,,AlexandreKempf/automacdoc,automacdoc,[],api-docs,https://github.com/AlexandreKempf/automacdoc,https://github.com/AlexandreKempf/automacdoc,MIT,2019-06-14 11:47:18,2020-12-29 08:32:21,2020-12-29 08:32:20,13.0,,10.0,5.0,3.0,4.0,1.0,41.0,,,,Automatic generation of documentation for mkdocs.,4.0,4.0,6.0,https://pypi.org/project/automacdoc,32.0,32.0,8,True,3.0,,,,,,,,,
135,Alabaster,alabaster,,,notpushkin/mkdocs-alabaster,mkdocs-alabaster,['theme'],theming,https://github.com/notpushkin/mkdocs-alabaster,https://github.com/notpushkin/mkdocs-alabaster,,2016-01-29 22:40:46,2020-06-16 08:22:24,2020-06-16 08:22:23,49.0,,9.0,4.0,12.0,3.0,14.0,36.0,,,,Alabaster port for MkDocs.,,,9.0,https://pypi.org/project/mkdocs-alabaster,189.0,189.0,8,True,3.0,,,,,,,,,
136,Windmill Dark,windmill-dark,,,noraj/mkdocs-windmill-dark,mkdocs-windmill-dark,['theme'],theming,https://github.com/noraj/mkdocs-windmill-dark,https://github.com/noraj/mkdocs-windmill-dark,,2017-10-08 14:17:25,2022-05-12 18:17:41,2022-05-12 18:17:41,65.0,,10.0,4.0,,,4.0,31.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,,,4.0,https://pypi.org/project/mkdocs-windmill-dark,427.0,427.0,8,True,3.0,,,,,,,,,
137,MkRefs,,mkrefs,,DerwenAI/mkrefs,mkrefs,['plugin'],nav-pages,https://github.com/DerwenAI/mkrefs,https://github.com/DerwenAI/mkrefs,MIT,2021-05-10 15:58:53,2023-08-31 15:32:44,2023-08-31 15:32:44,51.0,1.0,,4.0,10.0,,,27.0,2021-06-27 17:55:28,0.2.0,2.0,MkDocs plugin to generate semantic reference Markdown pages from a knowledge graph.,2.0,2.0,2.0,https://pypi.org/project/mkrefs,47.0,47.0,8,True,3.0,,,,,,,,,
138,include directory to navigation,,include_dir_to_nav,,mysiki/mkdocs_include_dir_to_nav,mkdocs-include-dir-to-nav,['plugin'],nav-pages,https://github.com/mysiki/mkdocs_include_dir_to_nav,https://github.com/mysiki/mkdocs_include_dir_to_nav,,2021-09-07 20:49:51,2022-03-01 09:02:53,2022-03-01 08:52:15,12.0,,1.0,1.0,2.0,1.0,2.0,22.0,2022-03-01 09:02:54,1.2.0,3.0,Simple MKDocs plugin than permit to fetch and replace directory in navigation.,,,,https://pypi.org/project/mkdocs-include-dir-to-nav,47838.0,47838.0,8,True,3.0,,,8.0,True,,,,,
139,Autolink References,,autolink_references,,theskumar/autolink-references-mkdocs-plugin,autolink-references-mkdocs-plugin,['plugin'],links-refs,https://github.com/theskumar/autolink-references-mkdocs-plugin,https://github.com/theskumar/autolink-references-mkdocs-plugin,MIT,2020-10-15 05:47:46,2023-05-01 14:07:07,2022-01-26 12:18:57,9.0,,4.0,4.0,3.0,3.0,1.0,14.0,,,,Provides GitHub like autolink references in Mkdocs.,5.0,5.0,2.0,https://pypi.org/project/autolink-references-mkdocs-plugin,5294.0,5294.0,8,False,3.0,,,,,,,,,
140,Wikilink Plus,,,,neurobin/mdx_wikilink_plus,mdx-wikilink-plus,['markdown'],links-refs,https://github.com/neurobin/mdx_wikilink_plus,https://github.com/neurobin/mdx_wikilink_plus,,2018-09-19 09:56:17,2022-07-26 06:02:00,2022-07-26 06:00:03,78.0,,3.0,3.0,5.0,,6.0,14.0,,,,A wikilink extension for Python Markdown.,,,5.0,https://pypi.org/project/mdx-wikilink-plus,2351.0,2351.0,8,False,3.0,mdx_wikilink_plus,,,,,,,,
