,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,extra_dependencies,markdown_extension,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
93,roamlinks,,roamlinks,Jackiexiao/mkdocs-roamlinks-plugin,mkdocs-roamlinks-plugin,['plugin'],links-refs,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,https://github.com/Jackiexiao/mkdocs-roamlinks-plugin,MIT,2020-09-05 02:15:33,2023-06-08 06:20:32,2023-06-08 06:20:31,33.0,,14.0,3.0,11.0,,,42.0,,,,An MkDocs plugin that automagically generates relative links between markdown pages.,,,9.0,https://pypi.org/project/mkdocs-roamlinks-plugin,5848.0,5848.0,11,True,2.0,,,,,,,,,
94,MkDocs Merge,,,ovasquez/mkdocs-merge,mkdocs-merge,[],site-management,https://github.com/ovasquez/mkdocs-merge,https://github.com/ovasquez/mkdocs-merge,MIT,2017-06-06 21:33:22,2023-01-21 06:02:45,2023-01-21 05:58:42,27.0,,5.0,1.0,11.0,4.0,3.0,20.0,2023-01-21 06:02:45,0.8.0,6.0,Merge the source of multiple MkDocs sites into a single one.,4.0,4.0,3.0,https://pypi.org/project/mkdocs-merge,763.0,763.0,11,True,3.0,,,,,,,,,
95,pheasant,,pheasant,daizutabi/pheasant,pheasant,['plugin'],code-exec-templating,https://github.com/daizutabi/pheasant,https://github.com/daizutabi/pheasant,MIT,2017-12-25 12:14:27,2020-12-19 23:21:44,2020-12-19 23:21:31,841.0,,9.0,3.0,4.0,6.0,5.0,16.0,,,,Documentation tool for Markdown conversion by Jupyter client.,39.0,39.0,4.0,https://pypi.org/project/pheasant,131.0,131.0,11,False,3.0,,,,,,,,,
96,Ivory,ivory,,daizutabi/mkdocs-ivory,mkdocs-ivory,['theme'],theming,https://github.com/daizutabi/mkdocs-ivory,https://github.com/daizutabi/mkdocs-ivory,MIT,2019-04-14 14:07:26,2020-06-16 07:35:02,2020-06-16 07:34:55,58.0,,4.0,1.0,1.0,2.0,3.0,12.0,,,,Ivory theme for MkDocs.,64.0,64.0,2.0,https://pypi.org/project/mkdocs-ivory,5542.0,5542.0,11,False,2.0,,,,,,,,,
97,mkdocs-open-in-new-tab,,open-in-new-tab,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,MIT,2023-03-26 20:25:28,2023-05-24 12:35:30,2023-05-24 12:34:55,13.0,,1.0,2.0,,1.0,,10.0,2023-03-26 22:18:15,1.0.2,1.0,This plugin adds JS to open outgoing links and PDFs in a new tab.,53.0,53.0,,https://pypi.org/project/mkdocs-open-in-new-tab,2720.0,2720.0,11,False,2.0,,,,,,,,,
98,Github-Links,,,Python-Markdown/github-links,mdx-gh-links,['markdown'],git-info,https://github.com/Python-Markdown/github-links,https://github.com/Python-Markdown/github-links,,2017-11-07 21:22:03,2023-07-31 18:42:17,2023-07-31 18:42:17,22.0,8.0,8.0,5.0,10.0,,3.0,6.0,,,,Python-Markdown GitHub Links Extension.,104.0,104.0,3.0,https://pypi.org/project/mdx-gh-links,5201.0,5201.0,11,False,3.0,,mdx_gh_links,,,,,,,
99,mkdocs-mdpo,,mdpo,mondeja/mkdocs-mdpo-plugin,mkdocs-mdpo-plugin,['plugin'],i18n-l10n,https://github.com/mondeja/mkdocs-mdpo-plugin,https://github.com/mondeja/mkdocs-mdpo-plugin,BSD-3-Clause,2021-04-26 14:53:13,2023-01-03 16:47:35,2023-01-03 16:47:34,107.0,,3.0,2.0,27.0,12.0,24.0,5.0,2022-06-10 13:17:02,0.0.27,27.0,Mkdocs translation plugin using PO files.,,,3.0,https://pypi.org/project/mkdocs-mdpo-plugin,338.0,342.0,11,False,3.0,,,146.0,,,,,,
100,mkdocs_safe_text,,mkdocs_safe_text,raimon49/mkdocs-safe-text-plugin,mkdocs-safe-text-plugin,['plugin'],html-css,https://github.com/raimon49/mkdocs-safe-text-plugin,https://github.com/raimon49/mkdocs-safe-text-plugin,BSD-2-Clause,2018-01-20 11:15:30,2023-10-04 10:47:48,2023-10-04 10:47:45,202.0,12.0,,3.0,26.0,,,3.0,2022-11-20 04:04:00,-1.5.1,15.0,Plugin for safe text editing with MKDocs.,,,2.0,https://pypi.org/project/mkdocs-safe-text-plugin,190.0,190.0,11,False,2.0,,,,,,,,,
101,MkDocs Backend for Foliant,,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],integrations,https://github.com/foliant-docs/foliantcontrib.mkdocs,https://github.com/foliant-docs/foliantcontrib.mkdocs,MIT,2017-12-14 04:55:02,2022-12-12 07:42:43,2022-12-12 07:41:42,88.0,,3.0,3.0,12.0,,1.0,3.0,2022-12-12 07:42:43,1.0.15,2.0,MkDocs backend for Foliant.,28.0,28.0,5.0,https://pypi.org/project/foliantcontrib.mkdocs,73.0,73.0,11,False,3.0,,,,-1.0,,,,,
102,MarkdownSubscript,,,jambonrose/markdown_subscript_extension,MarkdownSubscript,['markdown'],markdown,https://github.com/jambonrose/markdown_subscript_extension,https://github.com/jambonrose/markdown_subscript_extension,BSD-2-Clause,2014-07-29 13:25:32,2022-12-27 15:35:33,2018-12-02 17:22:16,52.0,,2.0,2.0,62.0,2.0,3.0,3.0,2018-10-10 00:13:20,2.1.1,5.0,An extension to the Python Markdown package enabling subscript text.,54.0,54.0,2.0,https://pypi.org/project/MarkdownSubscript,302.0,302.0,11,False,2.0,,subscript,,,,,,,
103,mkdocs-nav-weight,,mkdocs-nav-weight,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,https://github.com/shu307/mkdocs-nav-weight,https://github.com/shu307/mkdocs-nav-weight,MIT,2022-08-28 04:55:37,2023-09-13 11:40:46,2023-09-13 08:40:14,22.0,3.0,1.0,1.0,1.0,,1.0,3.0,2023-09-13 11:40:46,0.0.9,6.0,"A simple mkdocs plugin, enables to organize Navigation in a more markdownic way.",3.0,3.0,2.0,https://pypi.org/project/mkdocs-nav-weight,1297.0,1297.0,11,False,2.0,,,,,,,,,
104,minify-html,,minify_html,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,https://github.com/monosans/mkdocs-minify-html-plugin,https://github.com/monosans/mkdocs-minify-html-plugin,MIT,2023-07-08 13:45:13,2023-10-12 06:24:59,2023-10-12 06:24:58,85.0,77.0,,1.0,79.0,,,1.0,2023-07-08 14:05:55,0.1.0,1.0,"MkDocs plugin for minification using minify-html, an extremely fast HTML + JS + CSS minifier.",10.0,10.0,2.0,https://pypi.org/project/mkdocs-minify-html-plugin,1032.0,1032.0,11,False,2.0,,,,,,,,,
105,mkdocs-diagrams,,diagrams,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,https://github.com/zoni/mkdocs-diagrams,https://github.com/zoni/mkdocs-diagrams,MIT,2020-05-16 10:44:25,2020-09-04 08:33:06,2020-09-04 08:27:56,12.0,,1.0,2.0,1.0,1.0,1.0,22.0,,,,MkDocs plugin to render Diagrams files.,50.0,50.0,,https://pypi.org/project/mkdocs-diagrams,4411.0,4411.0,10,True,3.0,,,,,,,,,
106,mkdocs-typer,,,bruce-szalwinski/mkdocs-typer,mkdocs-typer,['markdown'],api-docs,https://github.com/bruce-szalwinski/mkdocs-typer,https://github.com/bruce-szalwinski/mkdocs-typer,Apache-2.0,2021-01-25 17:46:54,2023-06-21 16:32:56,2023-06-21 16:32:25,22.0,,1.0,2.0,13.0,2.0,2.0,17.0,2023-06-21 16:32:56,0.0.3,3.0,An MkDocs extension to generate documentation for Typer command line applications.,,,,https://pypi.org/project/mkdocs-typer,7498.0,7498.0,10,False,3.0,,mkdocs-typer,,,,,,,
107,snippet,,snippet,mprivat/mkdocs-snippet-plugin,mkdocs-snippet-plugin,['plugin'],snippets-include,https://github.com/mprivat/mkdocs-snippet-plugin,https://github.com/mprivat/mkdocs-snippet-plugin,MIT,2019-02-27 18:43:14,2021-10-21 22:55:54,2021-10-21 22:55:54,10.0,,3.0,3.0,2.0,3.0,4.0,12.0,,,,An mkdocs plugin that injects snippets from a file in a git repository.,11.0,11.0,3.0,https://pypi.org/project/mkdocs-snippet-plugin,389.0,389.0,10,False,3.0,,,,,,,,,
108,add-number,,add-number,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,https://github.com/ignorantshr/mkdocs-add-number-plugin,https://github.com/ignorantshr/mkdocs-add-number-plugin,MIT,2019-05-25 03:48:30,2020-06-17 07:23:03,2020-06-11 09:35:38,31.0,,3.0,2.0,4.0,2.0,9.0,11.0,,,,MkDocs plugin to automatically number the headings (h1-h6) in each markdown page and the nav.,29.0,29.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,635.0,635.0,10,False,3.0,,,,,,,,,
109,mkdocs-categories-plugin,,categories,eddyluten/mkdocs-categories-plugin,mkdocs-categories-plugin,['plugin'],nav-pages,https://github.com/EddyLuten/mkdocs-categories-plugin,https://github.com/EddyLuten/mkdocs-categories-plugin,MIT,2022-02-24 02:42:22,2023-06-23 19:16:01,2023-06-23 19:15:59,13.0,,,1.0,,,2.0,11.0,2023-06-20 05:00:21,0.4.0,6.0,An MkDocs plugin allowing for categorization of wiki pages.,11.0,11.0,,https://pypi.org/project/mkdocs-categories-plugin,166.0,166.0,10,False,3.0,,,,,,,,,
110,KPN for MkDocs,kpn,,kpn/mkdocs-kpn-theme,mkdocs-kpn,['theme'],theming,https://github.com/kpn/mkdocs-kpn-theme,https://github.com/kpn/mkdocs-kpn-theme,MIT,2020-04-02 12:00:18,2023-08-04 14:18:34,2023-07-25 15:59:38,151.0,7.0,,8.0,2.0,,4.0,7.0,,,,KPN theme for MkDocs | owner=flow.,2.0,2.0,3.0,https://pypi.org/project/mkdocs-kpn,435.0,435.0,10,False,2.0,,,,,,,,,
111,unused-files,,unused_files,wilhelmer/mkdocs-unused-files,mkdocs-unused-files,['plugin'],links-refs,https://github.com/wilhelmer/mkdocs-unused-files,https://github.com/wilhelmer/mkdocs-unused-files,MIT,2022-12-14 20:47:40,2023-07-17 15:18:12,2023-07-17 15:12:19,27.0,1.0,1.0,1.0,1.0,,7.0,7.0,2023-07-17 15:18:12,0.2.0,9.0,An MkDocs plugin to find unused (orphaned) files in your project.,8.0,8.0,2.0,https://pypi.org/project/mkdocs-unused-files,2247.0,2247.0,10,False,2.0,,,,,,,,,
112,pdf-with-js,,pdf-with-js,smaxtec/mkdocs-pdf-with-js-plugin,mkdocs-pdf-with-js-plugin,['plugin'],site-conversion,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,https://github.com/smaxtec/mkdocs-pdf-with-js-plugin,MIT,2020-06-04 09:48:18,2021-07-23 08:52:22,2021-07-23 08:52:22,13.0,,2.0,5.0,3.0,1.0,,5.0,2021-07-16 06:35:39,0.1.3,3.0,A MkDocs plugin that exports your documentation as PDF with rendered JavaScript content.,9.0,9.0,4.0,https://pypi.org/project/mkdocs-pdf-with-js-plugin,443.0,443.0,10,False,3.0,,,,,,,,,
113,mkdocs-version-annotations,,mkdocs-version-annotations,glennmatthews/mkdocs-version-annotations,mkdocs-version-annotations,['plugin'],snippets-include,https://github.com/glennmatthews/mkdocs-version-annotations,https://github.com/glennmatthews/mkdocs-version-annotations,MIT,2022-09-14 15:06:14,2022-09-14 15:15:44,2022-09-14 15:05:30,5.0,,,2.0,,1.0,,1.0,2022-09-14 15:15:45,1.0.0,1.0,MkDocs plugin to add custom admonitions for documenting version differences.,181.0,181.0,,https://pypi.org/project/mkdocs-version-annotations,6096.0,6096.0,10,False,3.0,,,8.0,,,,,,
114,Mdx Include,,,neurobin/mdx_include,mdx_include,['markdown'],snippets-include,https://github.com/neurobin/mdx_include,https://github.com/neurobin/mdx_include,,2018-09-19 21:01:21,2022-07-26 05:44:16,2022-07-26 05:42:09,70.0,,2.0,4.0,2.0,3.0,5.0,50.0,,,,Python Markdown extension to include local or remote files.,,,3.0,https://pypi.org/project/mdx_include,11015.0,11015.0,9,True,3.0,,mdx_include,,,,,,,
115,tags,,tags,jldiaz/mkdocs-plugin-tags,mkdocs-plugin-tags,['plugin'],search-toc,https://github.com/jldiaz/mkdocs-plugin-tags,https://github.com/jldiaz/mkdocs-plugin-tags,MIT,2019-10-21 15:51:50,2021-09-02 19:03:31,2021-09-02 19:03:31,7.0,,19.0,3.0,4.0,6.0,8.0,42.0,,,,Processes tags in yaml metadata.,,,3.0,https://pypi.org/project/mkdocs-plugin-tags,493.0,493.0,9,True,3.0,,,,,,,,,
116,multirepo,,,wilhelmer/mkdocs-multirepo,mkdocs-multirepo,[],site-management,https://github.com/wilhelmer/mkdocs-multirepo,https://github.com/wilhelmer/mkdocs-multirepo,MIT,2020-07-08 12:11:47,2022-01-11 15:38:49,2022-01-11 15:34:30,42.0,,2.0,6.0,1.0,,4.0,28.0,2022-01-11 15:38:50,0.5.1,2.0,"A bit like monorepo, but keeps MkDocs projects separate.",,,2.0,https://pypi.org/project/mkdocs-multirepo,108.0,108.0,9,True,3.0,,,,,,,,,
117,MkRefs,,mkrefs,DerwenAI/mkrefs,mkrefs,['plugin'],nav-pages,https://github.com/DerwenAI/mkrefs,https://github.com/DerwenAI/mkrefs,MIT,2021-05-10 15:58:53,2023-08-31 15:32:44,2023-08-31 15:32:44,51.0,1.0,,4.0,10.0,,,26.0,2021-06-27 17:55:28,0.2.0,2.0,MkDocs plugin to generate semantic reference Markdown pages from a knowledge graph.,2.0,2.0,2.0,https://pypi.org/project/mkrefs,51.0,51.0,9,True,3.0,,,,,,,,,
118,docutools,,"['lcd-find-pages', 'lcd-custom-dir', 'lcd-blacklist', 'lcd-lp', 'lcd-md-replace', 'lcd-page-tree', 'lcd-stats']",axiros/docutools,docutools,['plugin'],charts,https://github.com/axiros/docutools,https://github.com/axiros/docutools,BSD-2-Clause,2021-10-04 21:36:07,2023-09-04 16:57:48,2023-09-04 16:57:44,438.0,3.0,,7.0,,1.0,1.0,19.0,,,,Dev Centric Tools for Mkdocs Based Documentation.,6.0,6.0,3.0,https://pypi.org/project/docutools,33.0,33.0,9,False,3.0,,,,,,,,,
119,MkDocs Img2Fig Plugin,,img2fig,stuebersystems/mkdocs-img2fig-plugin,mkdocs-img2fig-plugin,['plugin'],charts,https://github.com/stuebersystems/mkdocs-img2fig-plugin,https://github.com/stuebersystems/mkdocs-img2fig-plugin,MIT,2019-05-09 09:48:11,2022-04-15 06:05:55,2020-07-14 09:36:02,8.0,,7.0,2.0,3.0,2.0,1.0,18.0,,,,A MkDocs plugin that converts markdown encoded images into figure elements.,100.0,100.0,2.0,https://pypi.org/project/mkdocs-img2fig-plugin,2443.0,2443.0,9,False,3.0,,,,,,,,,
120,Blogs for MkDocs,,blog,fmaida/mkdocs-blog-plugin,,['plugin'],blogging,https://github.com/fmaida/mkdocs-blog-plugin,https://github.com/fmaida/mkdocs-blog-plugin,MIT,2020-01-19 13:38:21,2020-04-13 08:11:37,2020-04-13 08:11:31,21.0,,4.0,3.0,,1.0,1.0,14.0,,,,This plugin for MkDocs allows to keeps a really simple blog section inside your documentation site.,82.0,82.0,,,,,9,False,3.0,,,,,,['mkdocs_plugin'],,,
121,bootstrap-tables,,bootstrap-tables,byrnereese/mkdocs-bootstrap-tables-plugin,mkdocs-bootstrap-tables-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-bootstrap-tables-plugin,https://github.com/byrnereese/mkdocs-bootstrap-tables-plugin,MIT,2018-12-19 20:55:24,2020-03-27 04:57:49,2020-03-27 04:57:31,2.0,,2.0,2.0,,,,11.0,,,,A MkDocs plugin to add bootstrap classes to plan markdown generated tables.,66.0,66.0,,https://pypi.org/project/mkdocs-bootstrap-tables-plugin,1312.0,1312.0,9,False,3.0,,,,,,,,,
122,mkdocs-alias-plugin,,alias,eddyluten/mkdocs-alias-plugin,mkdocs-alias-plugin,['plugin'],links-refs,https://github.com/EddyLuten/mkdocs-alias-plugin,https://github.com/EddyLuten/mkdocs-alias-plugin,MIT,2022-02-13 01:23:30,2023-06-23 19:17:02,2023-06-23 19:17:01,21.0,,1.0,1.0,2.0,1.0,3.0,9.0,2023-04-17 22:36:21,0.6.0,7.0,An MkDocs plugin allowing links to your pages using a custom alias.,7.0,7.0,2.0,https://pypi.org/project/mkdocs-alias-plugin,259.0,259.0,9,False,2.0,,,,,,,,,
123,mkdocs-site-urls,,site-urls,OctoPrint/mkdocs-site-urls,mkdocs-site-urls,['plugin'],links-refs,https://github.com/OctoPrint/mkdocs-site-urls,https://github.com/OctoPrint/mkdocs-site-urls,MIT,2023-07-28 11:55:04,2023-07-31 09:20:53,2023-07-31 09:20:53,8.0,8.0,1.0,2.0,,,1.0,8.0,2023-07-31 09:00:30,0.2.0,2.0,A MkDocs plugin that adds support for site-relative `site:` URLs.,4.0,4.0,,https://pypi.org/project/mkdocs-site-urls,4973.0,4973.0,9,False,2.0,,,,,,,,,
124,Link Checker,,,byrnereese/linkchecker-mkdocs,mkdocs-linkcheck,[],quality,https://github.com/byrnereese/linkchecker-mkdocs,https://github.com/byrnereese/linkchecker-mkdocs,MIT,2021-08-16 16:44:47,2023-07-14 20:12:42,2021-08-24 18:08:03,70.0,,4.0,1.0,5.0,7.0,,7.0,,,,"Python asyncio + aiohttp Markdown *.md URL link checker: 10,000 files/second.",,,5.0,https://pypi.org/project/mkdocs-linkcheck,1578.0,1578.0,9,False,3.0,,,,,,,,,
125,tooltipster-links,,tooltipster-links,midnightprioriem/mkdocs-tooltipster-links-plugin,mkdocs-tooltipster-links-plugin,['plugin'],links-refs,https://github.com/zachhannum/mkdocs-tooltipster-links-plugin,https://github.com/zachhannum/mkdocs-tooltipster-links-plugin,MIT,2020-01-11 16:20:03,2022-09-20 10:38:00,2020-07-29 11:54:06,7.0,,1.0,3.0,1.0,2.0,,6.0,2020-01-11 17:58:07,_010,1.0,An MkDocs plugin that adds tooltips to preview the content of page links using tooltipster.,20.0,20.0,,https://pypi.org/project/mkdocs-tooltipster-links-plugin,304.0,304.0,9,False,2.0,,,,,zachhannum/mkdocs-tooltipster-links-plugin,,,,
126,Bootstrap 4,bootstrap4,,LukeCarrier/mkdocs-theme-bootstrap4,mkdocs-theme-bootstrap4,['theme'],theming,https://github.com/LukeCarrier/mkdocs-theme-bootstrap4,https://github.com/LukeCarrier/mkdocs-theme-bootstrap4,MIT,2019-10-02 20:24:05,2023-08-14 22:07:46,2023-01-07 23:04:02,49.0,,,2.0,28.0,1.0,4.0,4.0,2020-04-18 18:52:05,0.4.0,3.0,A vanilla Bootstrap 4 theme for MkDocs.,2.0,2.0,3.0,https://pypi.org/project/mkdocs-theme-bootstrap4,71.0,71.0,9,False,3.0,,,,,,['mkdocs_theme'],,,
127,Zettelkasten,zettelkasten-solarized-light,,buvis-net/mkdocs-zettelkasten,mkdocs-zettelkasten,['theme'],theming,https://github.com/buvis/mkdocs-zettelkasten,https://github.com/buvis/mkdocs-zettelkasten,MIT,2021-11-24 19:48:08,2023-10-10 08:23:53,2023-10-10 08:23:41,48.0,4.0,,1.0,11.0,6.0,3.0,4.0,2022-11-25 12:19:12,0.1.8,3.0,This is a Zettelkasten theme and plugin for MkDocs. It renders the MkDocs pages as cards (zettels).,2.0,2.0,3.0,https://pypi.org/project/mkdocs-zettelkasten,41.0,41.0,9,False,3.0,,,19.0,,buvis/mkdocs-zettelkasten,,,,
128,toc-sidebar,,toc-sidebar,midnightprioriem/mkdocs-toc-sidebar-plugin,mkdocs-toc-sidebar-plugin,['plugin'],nav-pages,https://github.com/zachhannum/mkdocs-toc-sidebar-plugin,https://github.com/zachhannum/mkdocs-toc-sidebar-plugin,MIT,2020-01-11 06:11:10,2021-05-30 09:12:08,2020-01-11 13:04:15,9.0,,3.0,3.0,3.0,3.0,,4.0,2020-01-11 07:19:38,_010,1.0,An MkDocs plugin that allows users to add additional content to the ToC sidebar using the Material theme.,25.0,25.0,2.0,https://pypi.org/project/mkdocs-toc-sidebar-plugin,387.0,387.0,9,False,3.0,,,,,zachhannum/mkdocs-toc-sidebar-plugin,,,,
129,vim-md-tags,,vim-md-tags,midnightprioriem/mkdocs-vim-md-tags-plugin,mkdocs-vim-md-tags-plugin,['plugin'],other,https://github.com/zachhannum/mkdocs-vim-md-tags-plugin,https://github.com/zachhannum/mkdocs-vim-md-tags-plugin,MIT,2020-01-11 18:58:18,2020-05-08 18:43:26,2020-05-08 18:42:07,13.0,,1.0,4.0,1.0,,,4.0,2020-05-08 18:43:26,_020,2.0,An MkDocs plugin that creates a vim tag file of all markdown files.,9.0,9.0,4.0,https://pypi.org/project/mkdocs-vim-md-tags-plugin,291.0,291.0,9,False,2.0,,,,,zachhannum/mkdocs-vim-md-tags-plugin,,,,
130,mkdocs-code-validator,,code-validator,oprypin/mkdocs-code-validator,mkdocs-code-validator,['plugin'],quality,https://github.com/oprypin/mkdocs-code-validator,https://github.com/oprypin/mkdocs-code-validator,MIT,2021-03-30 19:03:22,2023-09-18 16:25:38,2023-09-18 16:24:58,37.0,8.0,,2.0,,,,1.0,,,,Checks Markdown code blocks in a MkDocs site against user-defined actions.,11.0,11.0,,https://pypi.org/project/mkdocs-code-validator,347.0,347.0,9,False,3.0,,,,,,,,,
131,mkdocs-yamp,,yamp,boozallen/mkdocs-yamp-plugin,mkdocs-yamp,['plugin'],site-management,https://github.com/boozallen/mkdocs-yamp-plugin,https://github.com/boozallen/mkdocs-yamp-plugin,Apache-2.0,2022-09-28 20:20:20,2023-08-28 00:20:33,2022-10-10 22:57:20,27.0,,1.0,1.0,5.0,,,1.0,2022-10-10 22:57:56,0.1.2,3.0,Yet Another Multirepo Plugin for MkDocs.,3.0,3.0,2.0,https://pypi.org/project/mkdocs-yamp,242.0,242.0,9,False,3.0,,,,,,,,,
132,Alabaster,alabaster,,notpushkin/mkdocs-alabaster,mkdocs-alabaster,['theme'],theming,https://github.com/notpushkin/mkdocs-alabaster,https://github.com/notpushkin/mkdocs-alabaster,,2016-01-29 22:40:46,2020-06-16 08:22:24,2020-06-16 08:22:23,49.0,,9.0,3.0,12.0,3.0,14.0,36.0,,,,Alabaster port for MkDocs.,,,9.0,https://pypi.org/project/mkdocs-alabaster,210.0,210.0,8,True,3.0,,,,,,,,,
133,Windmill Dark,windmill-dark,,noraj/mkdocs-windmill-dark,mkdocs-windmill-dark,['theme'],theming,https://github.com/noraj/mkdocs-windmill-dark,https://github.com/noraj/mkdocs-windmill-dark,,2017-10-08 14:17:25,2022-05-12 18:17:41,2022-05-12 18:17:41,65.0,,10.0,4.0,,,4.0,31.0,,,,Outstanding mkdocs theme with a focus on navigation and usability.,,,4.0,https://pypi.org/project/mkdocs-windmill-dark,422.0,422.0,8,True,3.0,,,,,,,,,
134,Autolink References,,autolink_references,theskumar/autolink-references-mkdocs-plugin,autolink-references-mkdocs-plugin,['plugin'],links-refs,https://github.com/theskumar/autolink-references-mkdocs-plugin,https://github.com/theskumar/autolink-references-mkdocs-plugin,MIT,2020-10-15 05:47:46,2023-05-01 14:07:07,2022-01-26 12:18:57,9.0,,4.0,4.0,3.0,3.0,1.0,14.0,,,,Provides GitHub like autolink references in Mkdocs.,5.0,5.0,2.0,https://pypi.org/project/autolink-references-mkdocs-plugin,4939.0,4939.0,8,False,3.0,,,,,,,,,
135,CustomMill,custommill,,Siphalor/mkdocs-custommill,mkdocs-custommill,['theme'],theming,https://github.com/Siphalor/mkdocs-custommill,https://github.com/Siphalor/mkdocs-custommill,,2021-03-31 11:40:50,2022-03-10 22:29:19,2022-03-10 22:04:06,184.0,,6.0,2.0,,,1.0,11.0,2022-03-10 22:29:19,1.3.0,1.0,"Outstanding mkdocs theme with a focus on navigation, customization and usability.",13.0,13.0,8.0,https://pypi.org/project/mkdocs-custommill,131.0,131.0,8,False,3.0,,,,,,,,,
136,placeholder,,placeholder,six-two/mkdocs-placeholder-plugin,mkdocs-placeholder-plugin,['plugin'],other,https://github.com/six-two/mkdocs-placeholder-plugin,https://github.com/six-two/mkdocs-placeholder-plugin,MIT,2022-07-24 08:54:44,2023-08-01 18:14:54,2023-08-01 18:14:10,170.0,4.0,2.0,1.0,1.0,,4.0,7.0,,,,Add placeholders to your MkDocs pages.,,,2.0,https://pypi.org/project/mkdocs-placeholder-plugin,520.0,520.0,8,False,3.0,,,,,,,,,
137,mkdocs-add-teaser,,mkdocs-add-teaser,wilhelmer/mkdocs-add-teaser,mkdocs-add-teaser,['plugin'],html-css,https://github.com/wilhelmer/mkdocs-add-teaser,https://github.com/wilhelmer/mkdocs-add-teaser,MIT,2019-04-02 09:24:11,2022-11-08 11:58:43,2022-11-08 11:56:59,33.0,,1.0,2.0,,,1.0,5.0,2022-11-08 11:58:43,0.9.1,7.0,"An MkDocs plugin to customize the first paragraph of your pages, and to use it as the pages meta description.",1.0,1.0,,https://pypi.org/project/mkdocs-add-teaser,175.0,175.0,8,False,3.0,,,,,,,,,
138,Breakless Lists,,,adamb70/mdx-breakless-lists,mdx-breakless-lists,['markdown'],markdown,https://github.com/adamb70/mdx-breakless-lists,https://github.com/adamb70/mdx-breakless-lists,MIT,2020-08-30 01:16:09,2022-12-19 10:48:58,2020-10-08 22:02:50,10.0,,2.0,1.0,2.0,1.0,1.0,5.0,2020-10-08 22:01:08,1.0.1,2.0,Python markdown breakless lists extension.,,,,https://pypi.org/project/mdx-breakless-lists,3776.0,3776.0,8,False,3.0,,mdx_breakless_lists,,,,,,,
139,git snippet,,gitsnippet,SamazoOo/mkdocs-gitsnippet-plugin,mkdocs-gitsnippet-plugin,['plugin'],snippets-include,https://github.com/SamazoOo/mkdocs-gitsnippet-plugin,https://github.com/SamazoOo/mkdocs-gitsnippet-plugin,MIT,2020-05-06 08:47:46,2020-11-15 20:10:15,2020-11-15 20:10:06,14.0,,3.0,2.0,1.0,,,5.0,,,,Mkdocs plugin that allow to inject snippet or all markdown content from a given remote git repository.,6.0,6.0,4.0,https://pypi.org/project/mkdocs-gitsnippet-plugin,504.0,504.0,8,False,3.0,,,,,,,,,
140,mkjsfiddle,,jsfiddle,stadiamaps/mkjsfiddle,mkjsfiddle,['plugin'],code-exec-templating,https://github.com/stadiamaps/mkjsfiddle,https://github.com/stadiamaps/mkjsfiddle,MIT,2020-02-02 01:35:26,2023-06-07 17:08:24,2023-06-07 17:08:20,19.0,,,2.0,,,,4.0,2023-06-06 14:35:23,1.0.1,5.0,An MkDocs plugin that lets you edit code fences in JSFiddle.,,,,https://pypi.org/project/mkjsfiddle,49.0,49.0,8,False,3.0,,,,,,,,,
141,link-marker,,link-marker,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],links-refs,https://github.com/timmeinerzhagen/mkdocs-link-marker,https://github.com/timmeinerzhagen/mkdocs-link-marker,MIT,2023-02-02 20:34:28,2023-02-07 20:12:48,2023-02-07 20:12:30,7.0,,,1.0,4.0,2.0,,4.0,2023-02-07 20:12:48,0.1.2,2.0,MkDocs plugin for marking links e.g. external ones or mails.,,,,https://pypi.org/project/mkdocs-link-marker,585.0,585.0,8,False,3.0,,,,,,,,,
